LGA,region_id,Total,x800_1249,x800_1249_ppt,,,,,
Wagga Wagga (C),LGA17750,48438,6962,0.143730129,,,,,
Walgett (A),LGA17900,5211,535,0.102667434,,,,,
Warrumbungle Shire (A),LGA18020,7578,630,0.083135392,,,,,
Waverley (A),LGA18050,50977,9001,0.176569826,,,,,
Wentworth (A),LGA18200,5428,613,0.11293294,,,,,
Western Plains Regional (A),LGA18230,36353,4864,0.133799136,,,,,
Willoughby (C),LGA18250,55996,8762,0.156475463,,,,,
Wingecarribee (A),LGA18350,35277,4785,0.135640786,,,,,
Wollondilly (A),LGA18400,33427,5282,0.158015975,,,,,
Wollongong (C),LGA18450,157218,20719,0.131785165,,,,,
Woollahra (A),LGA18500,43313,7145,0.164962021,,,,,
Yass Valley (A),LGA18710,11380,1812,0.159226714,,,,,
