LGA,region_id,Couple family with no children,Couple family with children,One parent family,Couple family with no children_ppt,Couple family with children_ppt,One parent family_ppt,
Shoalhaven (C),LGA16950,11552,8879,4008,0.4301,0.4179,0.1520,
Singleton (A),LGA17000,1983,3015,768,0.4303,0.4062,0.1635,
Snowy Valleys (A),LGA17080,1688,1646,491,0.4413,0.4303,0.1284,
Strathfield (A),LGA17100,2218,4284,1207,0.4308,0.3968,0.1724,
Tamworth Regional (A),LGA17310,5725,6040,2546,0.4319,0.4347,0.1334,
Temora (A),LGA17350,682,665,196,0.4321,0.4284,0.1394,
Tenterfield (A),LGA17400,811,651,288,0.4339,0.4010,0.1650,
The Hills Shire (A),LGA17420,13050,26433,4393,0.2877,0.5557,0.1566,
Tweed (A),LGA17550,9933,7767,3969,0.4350,0.4604,0.1045,
Upper Hunter Shire (A),LGA17620,1522,1509,491,0.4363,0.4572,0.1065,
Upper Lachlan Shire (A),LGA17640,884,809,219,0.4367,0.4160,0.1472,
Uralla (A),LGA17650,633,718,221,0.4369,0.4182,0.1449,
Wagga Wagga (C),LGA17750,5270,6551,2620,0.4373,0.3842,0.1785,
Walgett (A),LGA17900,629,632,338,0.4403,0.4324,0.1273,
Warrumbungle Shire (A),LGA18020,1193,1011,381,0.4418,0.3902,0.1680,
Waverley (A),LGA18050,5773,5323,1702,0.4418,0.4068,0.1514,
Wentworth (A),LGA18200,763,784,272,0.4452,0.4248,0.1300,
Western Plains Regional (A),LGA18230,4464,5043,2269,0.3791,0.4282,0.1927,
Willoughby (C),LGA18250,6185,8090,2037,0.4453,0.4561,0.0986,
Wingecarribee (A),LGA18350,5002,4787,1659,0.4455,0.3816,0.1729,
Wollondilly (A),LGA18400,3526,6024,1351,0.4461,0.4075,0.1465,
Wollongong (C),LGA18450,17950,22205,8343,0.4462,0.4365,0.1173,
Woollahra (A),LGA18500,5373,4660,1332,0.4464,0.3958,0.1577,
Yass Valley (A),LGA18710,1518,1735,402,0.4511,0.4159,0.1330,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Couple family with no children,Couple family with children,One parent family,0.4529,0.4044,0.1426,
,,0,0,0,0.4533,0.3699,0.1768,
,,4074,8358,2468,0.4584,0.3584,0.1832,
,,267,273,87,0.4615,0.3911,0.1474,
,,12155,23259,7963,0.4616,0.3848,0.1535,
,,18313,38341,14223,0.4620,0.3642,0.1738,
,,306,338,118,0.4623,0.4231,0.1145,
,,332,266,93,0.4634,0.3720,0.1646,
,,298,252,77,0.4666,0.3670,0.1665,
,,243,312,141,0.4705,0.4168,0.1128,
,,9753,17296,6055,0.4721,0.3819,0.1460,
,,278,342,87,0.4727,0.3633,0.1640,
,,171,172,79,0.4728,0.4100,0.1172,
,,1133,1035,372,0.4749,0.4212,0.1039,
,,938,782,312,0.4753,0.4019,0.1228,
,,1508,1178,370,0.4755,0.3906,0.1339,
,,844,780,321,0.4790,0.4042,0.1168,
,,16119,17925,7387,0.4805,0.3849,0.1346,
,,,,,0.4822,0.4112,0.1065,
,,435,415,127,0.4850,0.3257,0.1893,
,,330,392,148,0.4854,0.4337,0.0809,
,,7177,11726,4207,0.4914,0.3493,0.1592,
,,201,220,37,0.4930,0.3897,0.1173,
,,369,411,98,0.4935,0.3855,0.1211,
,,4059,4111,1043,0.4954,0.3867,0.1178,
,,283,275,100,0.5009,0.3770,0.1221,
,,12031,18446,6081,0.5178,0.3203,0.1619,
,,659,675,146,0.5269,0.3599,0.1132,
,,19299,28935,7273,0.5521,0.2999,0.1480,
,,16199,6000,3347,0.5953,0.2971,0.1077,
,,163,139,36,0.6341,0.2349,0.1310,
,,416,369,91,Couple family with no children_ppt,Couple family with children_ppt,One parent family_ppt,
,,13388,17654,4536,,,,
,,480,405,117,,,,
,,14511,15653,7463,,,,
,,1237,1382,518,,,,
