Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2012-13 to 2013-14, Mosman,385,"1,231.10",173.3,161.6,185.6, ++
 2005-06 to 2006-07, Lachlan,84.4,"1,226.80",190.9,164.3,219.4, ++
 2001-02 to 2002-03, Lachlan,88.7,"1,225.50",226.4,196.9,259, ++
 2006-07 to 2007-08, Lachlan,82.8,"1,222.30",182.7,158.8,208.9, ++
 2007-08 to 2008-09, Kempsey,356.8,"1,219.40",181.8,169,195.5, ++
 2002-03 to 2003-04, Cobar,56.5,"1,214.40",220.3,183.2,258.9, ++
 2008-09 to 2009-10, Kempsey,360.9,"1,212.80",180.1,167.1,192.6, ++
 2005-06 to 2006-07, Bogan,34.2,"1,212.50",188.7,151.3,227.2, ++
 2012-13 to 2013-14, Temora,79.2,"1,211.70",170.5,146.3,196.4, ++
 2012-13 to 2013-14, Central Darling,23.9,"1,211.00",170.4,134.4,213.3, ++
 2007-08 to 2008-09, Bogan,34.3,"1,200.40",179,142.9,219.7, ++
 2005-06 to 2006-07, Tenterfield,82.9,"1,199.10",186.6,160.7,215.9, ++
 2013-14 to 2014-15, Temora,78,"1,185.00",167.8,144.9,192.4, ++
 2006-07 to 2007-08, Carrathool,33.4,"1,178.80",176.2,142.8,212.1, ++
 2006-07 to 2007-08, Cobar,56.1,"1,167.80",174.5,145.5,205.1, ++
 2006-07 to 2007-08, Bogan,33.1,"1,166.10",174.2,137.2,216.4, ++
 2001-02 to 2002-03, Cobar,54.7,"1,164.70",215.2,178.1,255.2, ++
 2007-08 to 2008-09, Lachlan,78.3,"1,164.20",173.6,149.4,198.7, ++
 2007-08 to 2008-09, Cobar,55,"1,157.70",172.6,143.6,203.9, ++
 2005-06 to 2006-07, Cobar,55.2,"1,149.60",178.9,148,211.8, ++
 2013-14 to 2014-15, Manly,500.1,"1,133.50",160.5,150.5,170.7, ++
 2012-13 to 2013-14, Cobar,53.7,"1,131.80",159.3,133.2,190, ++
 2012-13 to 2013-14, Manly,494.9,"1,129.60",159,149.4,169.4, ++
 2006-07 to 2007-08, Tenterfield,79.1,"1,124.20",168,144,194.2, ++
 2008-09 to 2009-10, Lachlan,75.3,"1,119.90",166.3,143,192.9, ++
 2011-12 to 2012-13, Cobar,52.1,"1,118.00",159.3,132.5,188, ++
 2006-07 to 2007-08, Hay,36.8,"1,116.70",166.9,134.4,204.9, ++
 2010-11 to 2011-12, Bogan,32.3,"1,116.10",162,128.7,198.2, ++
 2013-14 to 2014-15, Lachlan,76.3,"1,110.40",157.2,136.8,181.7, ++
 2012-13 to 2013-14, Lachlan,76.1,"1,109.30",156.1,133.5,179.9, ++
 2001-02 to 2002-03, Warren,34.7,"1,109.00",204.9,161.6,252.2, ++
 2001-02 to 2002-03, Coonamble,49.2,"1,108.30",204.7,168.8,244.8, ++
 2008-09 to 2009-10, Cootamundra,87.9,"1,104.40",164,141.4,187.7, ++
 2002-03 to 2003-04, Bogan,32,"1,102.40",200,155.4,246.6, ++
 2009-10 to 2010-11, Manly,464.8,"1,098.20",162.4,152.4,172.6, ++
 2011-12 to 2012-13, Manly,474.9,"1,097.50",156.4,146.5,166.4, ++
 2005-06 to 2006-07, Narrandera,69.5,"1,096.40",170.6,145.4,197.9, ++
 2007-08 to 2008-09, Hay,35.7,"1,096.40",163.5,133.6,198.1, ++
 2009-10 to 2010-11, Lachlan,73.5,"1,087.60",160.8,137.8,186, ++
 2005-06 to 2006-07, Carrathool,30.8,"1,083.30",168.6,134.4,205, ++
 2006-07 to 2007-08, Kempsey,312.4,"1,082.90",161.8,149.3,174.8, ++
 2005-06 to 2006-07, Balranald,27.1,"1,078.80",167.9,131.1,210.6, ++
 2004-05 to 2005-06, Warren,30.9,"1,077.30",180.5,144.6,222.6, ++
 2007-08 to 2008-09, Balranald,26.7,"1,077.30",160.6,126.7,199.6, ++
 2007-08 to 2008-09, Coonamble,44.3,"1,077.00",160.6,131.8,193.6, ++
 2008-09 to 2009-10, Cobar,50.7,"1,076.70",159.9,132.7,191, ++
 2003-04 to 2004-05, Cobar,49.9,"1,075.60",188.5,154.5,225.7, ++
 2013-14 to 2014-15, Lane Cove,372.1,"1,075.50",152.3,141.7,163.2, ++
 2010-11 to 2011-12, Manly,459.1,"1,072.00",155.6,146.2,165.9, ++
 2004-05 to 2005-06, Cobar,50.6,"1,071.90",179.6,147.7,214.3, ++
 2011-12 to 2012-13, Kempsey,335.9,"1,071.80",152.8,141.4,164.5, ++
 2005-06 to 2006-07, Kyogle,102.7,"1,071.30",166.7,146,189.3, ++
