Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2006-07 to 2007-08, Wellington,72.9,880.6,131.6,111.3,152.8, ++
 2001-02 to 2002-03, Bogan,26,880.3,162.6,125.5,207.5, ++
 2001-02 to 2002-03, Balranald,22.9,879.6,162.5,124.7,209.1, ++
 2006-07 to 2007-08, Coolamon,36,879,131.3,106,160.2, +
 2012-13 to 2013-14, The Hills Shire,"1,534.50",879,123.7,119.3,127.9, ++
 2012-13 to 2013-14, Eurobodalla,380.2,878.9,123.7,115.1,132.4, ++
 2006-07 to 2007-08, Ku-ring-gai,968.2,878.8,131.3,125.5,137.3, ++
 2006-07 to 2007-08, Broken Hill,181.3,878.6,131.3,118.5,144.3, ++
 2005-06 to 2006-07, Forbes,84.3,878,136.6,117.4,157.1, ++
 2009-10 to 2010-11, Warren,24.8,877.8,129.8,100.4,161.5, +
 2005-06 to 2006-07, Woollahra,501.1,877.4,136.5,128,144.8, ++
 2008-09 to 2009-10, Lithgow,186.7,877,130.2,118,143, ++
 2008-09 to 2009-10, Narrabri,113.7,875.8,130,114.2,146.4, ++
 2008-09 to 2009-10, Warrumbungle Shire,90.1,875.4,130,113.8,148.1, ++
 2013-14 to 2014-15, Eurobodalla,384,874.9,123.9,115.5,133, ++
 2010-11 to 2011-12, Warren,25.1,874.1,126.9,99,157.2,0
 2010-11 to 2011-12, Hunters Hill,136.6,873.9,126.8,112.5,141.9, ++
 2012-13 to 2013-14, Cowra,120.2,873.3,122.9,108.8,138.7, ++
 2006-07 to 2007-08, Gundagai,32.8,873.1,130.5,104.4,157.9, +
 2009-10 to 2010-11, Holroyd,848.2,872.2,129,123,135.1, ++
 2003-04 to 2004-05, Kyogle,81.8,871.9,152.8,130.4,177.3, ++
 2011-12 to 2012-13, Ku-ring-gai,"1,065.20",871.6,124.2,118.9,129.9, ++
 2009-10 to 2010-11, Deniliquin,68.9,871.2,128.8,109.3,150.2, ++
 2011-12 to 2012-13, Cowra,119.4,871,124.1,110.3,139.1, ++
 2012-13 to 2013-14, Kempsey,274.9,870.8,122.6,112.8,132.5, ++
 2001-02 to 2002-03, Wellington,73,870.4,160.8,137.4,187.7, ++
 2012-13 to 2013-14, Balranald,21.3,870.2,122.5,95.5,154.8,0
 2006-07 to 2007-08, Lismore,381.1,869.5,129.9,121,139.5, ++
 2007-08 to 2008-09, Temora,54.6,869.2,129.6,108.1,153.6, ++
 2007-08 to 2008-09, Ku-ring-gai,978.5,869,129.6,123.9,135.5, ++
 2005-06 to 2006-07, Hay,28.9,868.9,135.2,107.1,168.3, +
 2013-14 to 2014-15, Coonamble,37.9,868.8,123,99.6,149.5,0
 2010-11 to 2011-12, Ku-ring-gai,"1,042.10",867.4,125.9,120.6,131.4, ++
 2011-12 to 2012-13, Gundagai,33.9,865.7,123.4,99.5,150.5,0
 2012-13 to 2013-14, Coonamble,37.7,865.2,121.8,100.2,149.2, +
 2006-07 to 2007-08, Moree Plains,112.5,864.6,129.2,113.1,145, ++
 2012-13 to 2013-14, Kyogle,89.6,864.4,121.7,106.3,139.4, ++
 2005-06 to 2006-07, Lismore,375.8,863.1,134.3,125,143.7, ++
 2006-07 to 2007-08, Nambucca,172.4,863,129,116.1,142, ++
 2003-04 to 2004-05, Coonamble,37.1,862.7,151.2,121.9,184, ++
 2013-14 to 2014-15, The Hills Shire,"1,543.90",862.5,122.1,118,126.4, ++
 2011-12 to 2012-13, Tumbarumba,33.1,862.3,122.9,98.3,149.5,0
 2013-14 to 2014-15, Glen Innes Severn,84.8,861.9,122,105.4,140.5, ++
 2010-11 to 2011-12, Narrabri,113.4,861.1,125,109.9,140.9, ++
 2011-12 to 2012-13, Leeton,93,861,122.7,106.9,139.7, ++
 2009-10 to 2010-11, Clarence Valley,468.3,860.9,127.3,119.5,135.2, ++
 2006-07 to 2007-08, Warringah,"1,245.10",860.6,128.6,123.8,133.8, ++
 2013-14 to 2014-15, Murrumbidgee,21.4,859.9,121.7,95.9,151.8,0
 2013-14 to 2014-15, Waverley,605.4,858,121.5,114.6,128.2, ++
 2007-08 to 2008-09, Coolamon,35.7,857.8,127.9,103.6,155.5, +
 2008-09 to 2009-10, Deniliquin,67.4,857.5,127.3,107.1,148.8, ++
 2010-11 to 2011-12, Hawkesbury,520.7,857,124.4,116.6,132.1, ++
 2008-09 to 2009-10, North Sydney,584,856.3,127.1,120.2,134.7, ++
 2008-09 to 2009-10, Harden,33,856.2,127.1,101.8,155, +
 2004-05 to 2005-06, Carrathool,24.8,856.1,143.4,111.6,178.1, ++
 2010-11 to 2011-12, Gundagai,33.2,855.8,124.2,101.6,152.3, +
 2012-13 to 2013-14, Waverley,598.9,855.2,120.4,113.8,127.1, ++
 2011-12 to 2012-13, Bland,53.5,855.1,121.9,101.8,144.6, +
 2009-10 to 2010-11, Young,107.4,854.8,126.4,111.4,142.4, ++
 2010-11 to 2011-12, Clarence Valley,472.4,854.6,124,116.2,131.8, ++
 2006-07 to 2007-08, Warrumbungle Shire,87,853.7,127.6,110,145.1, ++
 2006-07 to 2007-08, Richmond Valley,191.4,853.6,127.6,115.3,140.6, ++
 2008-09 to 2009-10, Tumbarumba,32.1,853.6,126.7,101.4,155.3, +
 2012-13 to 2013-14, Narromine,57.1,852.9,120,101.7,141.2, +
 2009-10 to 2010-11, Parramatta,"1,423.10",852.6,126.1,121.5,130.8, ++
 2003-04 to 2004-05, Carrathool,25.4,851.4,149.2,115,186.9, ++
 2010-11 to 2011-12, Eurobodalla,360,850.8,123.5,114.5,132.4, ++
 2011-12 to 2012-13, Coonamble,36.6,850.4,121.2,98.8,147.3,0
 2011-12 to 2012-13, Harden,34.1,850.4,121.2,96.8,146.6,0
 2002-03 to 2003-04, Narrabri,115.8,850.1,154.2,135.7,173.9, ++
 2011-12 to 2012-13, Holroyd,848.3,849.8,121.1,115.8,126.8, ++
 2001-02 to 2002-03, Nambucca,159.5,849.4,156.9,139.7,175.2, ++
 2004-05 to 2005-06, Broken Hill,174.3,848.6,142.2,127.5,158, ++
 2002-03 to 2003-04, Carrathool,26.1,847.6,153.8,118.6,191.1, ++
 2007-08 to 2008-09, Deniliquin,66.2,847.3,126.3,107,147.8, ++
 2008-09 to 2009-10, Tumut Shire,97.5,847.1,125.8,109.9,142.8, ++
 2013-14 to 2014-15, Hunters Hill,133.1,844.6,119.6,106,133.2, ++
 2012-13 to 2013-14, Narrabri,113.9,844.2,118.8,104.5,134, ++
 2005-06 to 2006-07, Sydney,"1,501.90",843.6,131.3,126.7,135.9, ++
 2011-12 to 2012-13, Marrickville,679.8,843.2,120.2,114,126.2, ++
 2013-14 to 2014-15, Blue Mountains,697.8,842.4,119.3,113.1,125.4, ++
 2007-08 to 2008-09, Narrabri,109,842.1,125.6,110.4,142.2, ++
 2009-10 to 2010-11, Ku-ring-gai,993.7,842,124.5,119,130.1, ++
 2013-14 to 2014-15, Richmond Valley,204.5,841.8,119.2,108.4,131, ++
 2007-08 to 2008-09, Woollahra,486.8,841.4,125.5,118,133.1, ++
 2004-05 to 2005-06, Kempsey,237.4,840.7,140.9,128.2,154.1, ++
 2013-14 to 2014-15, Randwick,"1,203.60",840.5,119,114.4,123.7, ++
 2003-04 to 2004-05, Nambucca,162.2,840.3,147.2,131.8,163.3, ++
 2009-10 to 2010-11, Waverley,583.6,840.1,124.2,117.3,131.5, ++
 2013-14 to 2014-15, Balranald,21.1,839.6,118.9,93.1,147.6,0
 2013-14 to 2014-15, Urana,10.7,839.2,118.8,89.6,154.6,0
 2010-11 to 2011-12, Forbes,81.7,839.1,121.8,104.4,139.9, ++
 2008-09 to 2009-10, Leeton,89.9,838.7,124.5,107.5,143.2, ++
 2006-07 to 2007-08, Tumut Shire,95.1,837.8,125.2,109.6,143.2, ++
 2005-06 to 2006-07, Junee,51.7,837.1,130.3,109,154.7, ++
 2008-09 to 2009-10, Bland,51.9,837,124.3,103.3,146.4, +
 2010-11 to 2011-12, Marrickville,671.7,837,121.5,115.1,128.1, ++
 2008-09 to 2009-10, Broken Hill,171.8,836.6,124.2,111.7,137.2, ++
 2007-08 to 2008-09, Berrigan,73.6,834.6,124.4,106.3,144.6, ++
 2008-09 to 2009-10, Murrumbidgee,19.5,833.8,123.8,95.9,155.9,0
 2010-11 to 2011-12, Tenterfield,62.8,833.7,121,102.2,141.4, +
 2006-07 to 2007-08, Hunters Hill,126.6,833.5,124.6,110.1,139.8, ++
 2005-06 to 2006-07, Bland,51.8,833,129.6,108.5,152.3, ++
 2008-09 to 2009-10, Lane Cove,276.1,832.9,123.7,113.9,134.2, ++
 2012-13 to 2013-14, Carrathool,23.9,832.9,117.2,92.4,145.4,0
 2008-09 to 2009-10, Warringah,"1,237.20",832.8,123.7,118.7,128.5, ++
 2006-07 to 2007-08, Young,100.7,832.6,124.4,109.4,140.7, ++
 2012-13 to 2013-14, Murrumbidgee,20.5,831.5,117,89.8,149,0
 2003-04 to 2004-05, Kempsey,231.5,831.1,145.6,132.6,159.5, ++
 2006-07 to 2007-08, Randwick,"1,106.20",830.8,124.2,119.2,129.6, ++
 2012-13 to 2013-14, Glen Innes Severn,81.2,830.7,116.9,100.9,134.3, +
 2008-09 to 2009-10, Coolamon,35.2,830.4,123.3,99.8,150.3,0
 2006-07 to 2007-08, Mosman,244.8,830.3,124.1,113.2,135.2, ++
 2010-11 to 2011-12, Shellharbour,528.8,830.3,120.5,113.4,128, ++
 2002-03 to 2003-04, Nambucca,157.6,830,150.6,135.4,167.3, ++
 2010-11 to 2011-12, Richmond Valley,195.5,830,120.5,109.2,132.7, ++
 2007-08 to 2008-09, Murrumbidgee,19.7,829.9,123.7,96.5,155.4,0
 2011-12 to 2012-13, Randwick,"1,167.00",829.8,118.3,113.8,123, ++
 2003-04 to 2004-05, Moree Plains,115,829.5,145.3,128.1,163.7, ++
 2005-06 to 2006-07, Tumut Shire,93.6,828.8,129,111.7,147.7, ++
 2009-10 to 2010-11, Murrumbidgee,19.2,828,122.4,94.9,156,0
 2008-09 to 2009-10, Holroyd,793.6,826.9,122.8,116.9,128.9, ++
 2007-08 to 2008-09, Leeton,88.4,826.2,123.2,107,141.5, ++
 2006-07 to 2007-08, Deniliquin,64.6,826.1,123.4,104.3,144.7, +
 2009-10 to 2010-11, Shellharbour,517.9,826.1,122.2,114.7,129.6, ++
 2009-10 to 2010-11, Bega Valley,293.7,825.9,122.1,112.6,131.8, ++
 2005-06 to 2006-07, Warringah,"1,181.50",825.8,128.5,123.5,133.6, ++
 2006-07 to 2007-08, Gilgandra,37.7,825.7,123.4,99.8,149.4,0
 2004-05 to 2005-06, Woollahra,470.7,825.2,138.3,129.9,147.1, ++
 2001-02 to 2002-03, Moree Plains,120.8,825.1,152.4,134.2,172.2, ++
 2005-06 to 2006-07, Bellingen,109,825,128.4,112.4,146, ++
 2008-09 to 2009-10, Bega Valley,287,825,122.5,112.5,132.5, ++
 2008-09 to 2009-10, Tenterfield,60,825,122.5,102.6,143, +
 2010-11 to 2011-12, Kyogle,83.8,825,119.7,103.3,137.8, +
 2006-07 to 2007-08, Junee,51.1,824.4,123.2,102.8,144.7, +
 2012-13 to 2013-14, Jerilderie,13.6,823.9,116,86.6,150.9,0
 2006-07 to 2007-08, Harden,31.6,823.7,123.1,99.7,151.6,0
 2004-05 to 2005-06, Narrabri,108.2,823.3,138,121,156.4, ++
 2012-13 to 2013-14, Blue Mountains,674.7,823.2,115.9,109.9,122.5, ++
 2007-08 to 2008-09, Tumut Shire,93.6,822,122.5,106.5,139.2, ++
 2009-10 to 2010-11, Harden,32.1,821.3,121.4,97.7,149,0
 2006-07 to 2007-08, Temora,51.6,821.1,122.7,101.8,145.1, +
 2010-11 to 2011-12, Temora,52.6,820.5,119.1,98.9,142.4,0
 2009-10 to 2010-11, Temora,52.1,820.3,121.3,101.4,143.5, +
 2004-05 to 2005-06, Balranald,20.6,820.2,137.4,103.7,174.8, +
 2011-12 to 2012-13, Forbes,80.8,819.8,116.8,100.2,133.9, +
 2013-14 to 2014-15, Carrathool,23.6,819.2,116,91.7,143.3,0
 2010-11 to 2011-12, Moree Plains,106,818.8,118.8,104.1,135.1, +
 2005-06 to 2006-07, Wyong,"1,169.50",818.7,127.4,122.1,132.8, ++
 2011-12 to 2012-13, Shellharbour,530,818.7,116.7,109.8,123.6, ++
 2007-08 to 2008-09, Warrumbungle Shire,83.6,818.5,122,105.8,139.6, ++
 2004-05 to 2005-06, Lithgow,168.9,818.4,137.1,123,151.7, ++
 2004-05 to 2005-06, Warrumbungle Shire,84.2,818.2,137.1,118.2,156.1, ++
 2011-12 to 2012-13, Clarence Valley,455.4,817.5,116.5,108.8,124.4, ++
 2012-13 to 2013-14, Tumut Shire,97,816.8,115,99.9,131,0
 2010-11 to 2011-12, Parramatta,"1,378.90",816.3,118.5,114.1,123, ++
 2013-14 to 2014-15, Hay,26.1,816.2,115.6,91.2,142.4,0
 2013-14 to 2014-15, Lismore,376.1,816,115.5,108.1,123.5, ++
 2007-08 to 2008-09, Urana,10.6,815.8,121.6,89.1,161,0
 2013-14 to 2014-15, Tumut Shire,97.7,815.8,115.5,101.1,131.4, +
 2008-09 to 2009-10, Woollahra,476,815.7,121.1,113.5,128.8, ++
 2004-05 to 2005-06, Gilgandra,37.6,815.5,136.6,111.3,165.9, ++
 2004-05 to 2005-06, Temora,50.3,815.5,136.7,112.2,162.5, ++
 2008-09 to 2009-10, Ku-ring-gai,939.5,814.8,121,115.5,127, ++
 2007-08 to 2008-09, Tumbarumba,30.6,814.5,121.4,96.1,149.5,0
 2010-11 to 2011-12, Leeton,87.2,814,118.1,102.2,135, +
 2006-07 to 2007-08, Murrumbidgee,19.6,813.9,121.6,93.6,153.8,0
 2009-10 to 2010-11, Woollahra,479.5,813.2,120.2,112.7,128.3, ++
 2006-07 to 2007-08, Parkes,118.3,811.3,121.2,106.9,135.6, ++
 2008-09 to 2009-10, Shellharbour,499.8,809.8,120.2,113,127.6, ++
 2012-13 to 2013-14, Woollahra,489.2,809.6,113.9,107.2,121, ++
 2007-08 to 2008-09, Wagga Wagga,466.9,809.3,120.7,113,128.1, ++
 2001-02 to 2002-03, Bombala,22.5,808.7,149.4,111.8,192.6, ++
 2002-03 to 2003-04, Gilgandra,38.1,808,146.6,118.4,179.3, ++
 2003-04 to 2004-05, Lithgow,166.5,808,141.6,126.8,156.6, ++
 2004-05 to 2005-06, Nambucca,157.8,807.8,135.4,121.3,150.9, ++
 2004-05 to 2005-06, Wyong,"1,142.70",807.7,135.3,129.9,141.2, ++
 2012-13 to 2013-14, Bland,50.8,807.6,113.7,94.9,133.1,0
 2004-05 to 2005-06, Leeton,87.4,807.1,135.2,117,154.8, ++
 2005-06 to 2006-07, Nambucca,159,806.9,125.6,112.1,139.8, ++
 2007-08 to 2008-09, Waverley,557.7,804.9,120,112.8,127.4, ++
 2012-13 to 2013-14, Leeton,87.5,804.7,113.2,97.8,129.6,0
 2002-03 to 2003-04, Kempsey,221.2,804.2,145.9,132.9,159.9, ++
 2007-08 to 2008-09, Bega Valley,274.9,804,119.9,109.9,129.9, ++
 2007-08 to 2008-09, Randwick,"1,089.30",804,119.9,114.9,124.9, ++
 2008-09 to 2009-10, Parramatta,"1,318.60",803.9,119.4,115,124, ++
 2009-10 to 2010-11, Lismore,358,803.1,118.7,110.6,127.1, ++
 2010-11 to 2011-12, Leichhardt,438.5,803,116.5,109.4,124.4, ++
 2002-03 to 2003-04, Lithgow,164.7,802.4,145.6,131.3,161.3, ++
 2005-06 to 2006-07, Ku-ring-gai,872.1,802.2,124.8,119.1,130.6, ++
 2004-05 to 2005-06, Tumut Shire,89.7,801.6,134.3,115.4,154.3, ++
 2009-10 to 2010-11, Lithgow,172.5,801.4,118.5,106.4,130.3, ++
 2003-04 to 2004-05, Broken Hill,165.8,801.2,140.4,125.6,156, ++
 2012-13 to 2013-14, Harden,32.8,800.6,112.7,89.8,138.5,0
 2007-08 to 2008-09, Marrickville,634.1,800.5,119.4,112.9,125.9, ++
 2007-08 to 2008-09, Lismore,352.5,800.3,119.3,110.6,128.2, ++
 2007-08 to 2008-09, Forbes,77.5,799.7,119.2,102.7,137.1, +
 2003-04 to 2004-05, Narrabri,106.5,798.9,140,122.3,158, ++
 2005-06 to 2006-07, Gilgandra,36.8,797.2,124.1,100.6,151.3, +
 2005-06 to 2006-07, Gundagai,29.9,797.1,124,97.8,153.2,0
 2001-02 to 2002-03, Sydney,"1,205.00",795.2,146.9,140.9,152.9, ++
 2009-10 to 2010-11, Bellingen,109,795,117.6,102.9,133, +
 2002-03 to 2003-04, Kyogle,74.7,793.7,144,123,166.5, ++
 2006-07 to 2007-08, Griffith,186.8,793.7,118.6,107.4,131.1, ++
 2013-14 to 2014-15, Leeton,87.1,793.7,112.4,97,129.7,0
 2011-12 to 2012-13, Bellingen,109.6,793.1,113,99.4,127.8,0
 2009-10 to 2010-11, Wellington,71.1,792.6,117.2,99.6,136,0
 2009-10 to 2010-11, Orange,295.7,792.5,117.2,107.7,126.7, ++
 2012-13 to 2013-14, Clarence Valley,442.4,792.4,111.5,104.4,118.9, ++
 2013-14 to 2014-15, Warren,23.7,792.2,112.2,88.2,139.1,0
 2004-05 to 2005-06, Mid-Western Regional,171.2,791.9,132.7,119.6,146.9, ++
 2003-04 to 2004-05, Warrumbungle Shire,82.2,790.8,138.6,119.4,158.6, ++
 2010-11 to 2011-12, Pittwater,500,790,114.7,107.9,121.6, ++
 2006-07 to 2007-08, Weddin,31.5,789.8,118,93.7,144.9,0
 2001-02 to 2002-03, Junee,47.2,789.5,145.9,119.7,175, ++
 2011-12 to 2012-13, Tumut Shire,93.3,789.5,112.5,97.7,128.4,0
 2012-13 to 2013-14, Forbes,78.6,789.5,111.1,95.6,128.2,0
 2008-09 to 2009-10, Marrickville,631.2,789.4,117.2,111.2,123.8, ++
 2008-09 to 2009-10, Waverley,548.7,787.9,117,110.1,124.2, ++
 2011-12 to 2012-13, Berrigan,73.7,787.3,112.2,95.7,129.9,0
 2011-12 to 2012-13, Wellington,71.1,787.2,112.2,95.2,130,0
 2001-02 to 2002-03, Kyogle,74.4,787.1,145.4,124.2,167.5, ++
 2001-02 to 2002-03, Kempsey,213.5,786.8,145.4,132,159.6, ++
 2004-05 to 2005-06, Sydney,"1,363.00",786.4,131.8,126.7,137, ++
 2002-03 to 2003-04, Bombala,21.7,786.1,142.6,106.9,183.5, +
 2011-12 to 2012-13, Glen Innes Severn,76.4,786,112,95.3,129.3,0
 2006-07 to 2007-08, Eurobodalla,310.5,785.9,117.4,109.1,126.6, ++
 2009-10 to 2010-11, Forbes,76.2,785.8,116.2,99.5,133.3,0
 2005-06 to 2006-07, Parkes,113.8,785.6,122.3,107.5,138.4, ++
 2001-02 to 2002-03, Bland,51,784.6,144.9,120,170.6, ++
 2008-09 to 2009-10, Griffith,189.1,784.2,116.4,104.9,128.1, ++
 2010-11 to 2011-12, Lismore,351.9,784,113.8,105.9,122.4, ++
 2005-06 to 2006-07, Richmond Valley,172.4,783.8,122,109.9,136, ++
 2013-14 to 2014-15, Pittwater,519,783.6,111,104.3,118, ++
 2004-05 to 2005-06, Ku-ring-gai,854.9,783.3,131.2,125.1,137.3, ++
 2002-03 to 2003-04, Junee,47,783.1,142.1,117.5,171.4, ++
 2013-14 to 2014-15, Kempsey,249.4,783.1,110.9,102,120.7, +
 2009-10 to 2010-11, Marrickville,627.8,782.9,115.8,109.5,122.3, ++
 2005-06 to 2006-07, Young,94,782.6,121.8,105.7,139, ++
 2005-06 to 2006-07, Mid-Western Regional,170.6,782.4,121.8,110,134.7, ++
 2008-09 to 2009-10, Urana,10.1,782.1,116.1,85,154.1,0
 2006-07 to 2007-08, Wyong,"1,137.50",781.9,116.8,112,121.8, ++
 2007-08 to 2008-09, Richmond Valley,177.4,781.5,116.5,105.8,128.4, ++
 2002-03 to 2003-04, Tenterfield,53.8,781.1,141.7,117.8,169.1, ++
 2013-14 to 2014-15, Ryde,902.9,780.5,110.5,105.4,115.9, ++
 2013-14 to 2014-15, Coolamon,36.1,780.1,110.5,89.9,133.8,0
 2012-13 to 2013-14, Lismore,355.7,779.8,109.7,101.8,117.8, +
 2002-03 to 2003-04, Hay,27.2,779.6,141.4,109.3,178.4, +
 2008-09 to 2009-10, Randwick,"1,071.60",779,115.7,111,120.7, ++
 2011-12 to 2012-13, Pittwater,500.2,778.9,111,104.1,118.3, ++
 2011-12 to 2012-13, Warringah,"1,194.30",778.3,110.9,106.7,115.3, ++
 2007-08 to 2008-09, Harden,29.9,778,116,91.3,144,0
 2013-14 to 2014-15, Holroyd,801.7,777.8,110.1,105.1,115.5, ++
 2008-09 to 2009-10, Orange,285.6,777.6,115.5,106.3,125.4, ++
 2013-14 to 2014-15, Clarence Valley,436.8,777.3,110.1,102.9,117.5, ++
 2002-03 to 2003-04, Moree Plains,110.7,776.8,140.9,122.7,160.5, ++
 2005-06 to 2006-07, Coolamon,31.5,776.3,120.8,96.4,147.9,0
 2006-07 to 2007-08, Wagga Wagga,441.3,776,116,108.9,123.7, ++
 2004-05 to 2005-06, Mosman,226.5,775.7,130,118.4,141.4, ++
 2003-04 to 2004-05, Cootamundra,59.7,775.4,135.9,113.7,161.4, ++
 2004-05 to 2005-06, Clarence Valley,392.7,775.4,129.9,121.3,139, ++
 2009-10 to 2010-11, Warrumbungle Shire,80.6,775.3,114.6,98.2,131.9,0
 2011-12 to 2012-13, Junee,49.4,775.3,110.5,91.8,132.1,0
 2006-07 to 2007-08, Cowra,100.3,775.1,115.8,100.7,131.9, +
 2003-04 to 2004-05, Mid-Western Regional,167.5,775,135.8,122.1,149.8, ++
 2008-09 to 2009-10, Wagga Wagga,452.4,774.6,115,107.7,122.7, ++
 2012-13 to 2013-14, Bellingen,107.5,773.2,108.8,95.3,123.5,0
 2011-12 to 2012-13, Hornsby,"1,298.00",773.1,110.2,106,114.4, ++
 2006-07 to 2007-08, Byron,238.5,772.7,115.5,105.2,126, ++
 2012-13 to 2013-14, Coolamon,35.4,771.9,108.6,87.4,132.1,0
 2013-14 to 2014-15, Narrabri,105,771.9,109.3,96.3,123.1,0
 2007-08 to 2008-09, Nambucca,156.4,771,115,103,127.6, +
 2005-06 to 2006-07, Gosford,"1,297.80",770.9,120,115.5,124.4, ++
 2001-02 to 2002-03, Narrandera,51.2,770.6,142.4,120.1,167.2, ++
 2011-12 to 2012-13, Parramatta,"1,323.00",770.6,109.8,105.8,113.9, ++
 2003-04 to 2004-05, Ryde,799.7,770.2,135,128.5,141.7, ++
 2005-06 to 2006-07, Mosman,224.1,769.7,119.8,108.8,130.7, ++
 2007-08 to 2008-09, Shellharbour,466.3,769.3,114.7,107.5,122.2, ++
 2004-05 to 2005-06, Lismore,331.2,768.2,128.7,118.6,138.7, ++
 2012-13 to 2013-14, Parramatta,"1,350.40",768,108.1,104.1,112.2, ++
 2001-02 to 2002-03, Gundagai,29.1,767.5,141.8,111.1,177.2, ++
 2006-07 to 2007-08, Penrith,"1,253.00",765.7,114.4,110.1,119, ++
 2003-04 to 2004-05, Sydney,"1,276.10",765.4,134.1,129,139.4, ++
 2002-03 to 2003-04, Gundagai,28.9,765.1,138.8,109.4,173.1, ++
 2011-12 to 2012-13, The Hills Shire,"1,306.50",764.9,109,104.8,113.1, ++
 2004-05 to 2005-06, Young,91.5,764.8,128.2,111.1,146.2, ++
 2009-10 to 2010-11, Parkes,114.8,764.2,113,99.4,127,0
 2010-11 to 2011-12, Murrumbidgee,17.7,764.1,110.9,85.7,140,0
 2011-12 to 2012-13, Wagga Wagga,452.1,764,108.9,102,116.1, +
 2012-13 to 2013-14, Holroyd,775.5,763.8,107.5,102,112.9, ++
 2006-07 to 2007-08, Marrickville,595.9,763.7,114.1,107.4,120.6, ++
 2007-08 to 2008-09, Bathurst Regional,283.1,763.7,113.9,104.6,122.9, ++
 2006-07 to 2007-08, Manly,312.8,763.4,114.1,105.5,122.7, ++
 2005-06 to 2006-07, Deniliquin,59.9,763.3,118.8,99.1,139.9,0
 2010-11 to 2011-12, Bellingen,105.4,763.2,110.8,96.9,126.1,0
 2009-10 to 2010-11, Coolamon,33,763,112.8,91.5,137,0
 2006-07 to 2007-08, Shellharbour,453.3,762.9,114,106.6,121.1, ++
 2010-11 to 2011-12, Parkes,116,762.9,110.7,97.1,125,0
 2010-11 to 2011-12, Bland,47.5,762.4,110.7,91.2,130.7,0
 2012-13 to 2013-14, Hay,24.2,762.4,107.3,83.1,134.1,0
 2009-10 to 2010-11, Bombala,21.2,762.3,112.7,86.5,143,0
 2009-10 to 2010-11, Jerilderie,12.8,762,112.7,82.5,148.6,0
 2002-03 to 2003-04, Upper Hunter Shire,103.3,761.2,138.1,121.1,156.9, ++
 2011-12 to 2012-13, Blue Mountains,618.5,761.2,108.5,102.3,114.7, ++
 2009-10 to 2010-11, Willoughby,534.7,760.9,112.5,105.9,119.6, ++
 2009-10 to 2010-11, Warringah,"1,143.40",760.7,112.5,108,117, ++
 2007-08 to 2008-09, Holroyd,717.1,760.2,113.3,107.7,119.4, ++
 2008-09 to 2009-10, Bathurst Regional,286.6,759.8,112.8,104.1,121.7, ++
 2004-05 to 2005-06, Glen Innes Severn,71,759.7,127.3,108.6,147.1, ++
 2008-09 to 2009-10, Bellingen,103,759.6,112.8,98.2,128.1,0
 2010-11 to 2011-12, Willoughby,537.6,759.2,110.2,103.9,116.7, ++
 2013-14 to 2014-15, Parramatta,"1,364.00",759.1,107.5,103.7,111.7, ++
 2003-04 to 2004-05, Temora,46.4,758.2,132.9,107.6,158.7, ++
 2008-09 to 2009-10, Lismore,335.5,757.7,112.5,104.2,121.7, ++
 2013-14 to 2014-15, Bland,47.7,757.6,107.3,90,127.4,0
 2007-08 to 2008-09, Gilgandra,34.3,757.5,112.9,90.9,137.3,0
 2006-07 to 2007-08, Bellingen,101.1,757.3,113.2,98.4,129,0
 2012-13 to 2013-14, Pittwater,493,756.6,106.5,100.1,113.4, +
 2013-14 to 2014-15, Griffith,189.5,756.2,107.1,96.9,117.6,0
 2012-13 to 2013-14, Penrith,"1,316.90",756.1,106.4,102.5,110.6, ++
 2010-11 to 2011-12, Wellington,67.8,756,109.7,93.6,126.9,0
 2009-10 to 2010-11, Cowra,100.5,755.8,111.7,97.6,126.8,0
 2003-04 to 2004-05, Tumut Shire,85.5,755.7,132.4,114.2,151.9, ++
 2011-12 to 2012-13, Penrith,"1,293.30",755.6,107.7,103.4,111.9, ++
 2013-14 to 2014-15, Botany Bay,331.8,755.3,106.9,99.3,114.9,0
 2009-10 to 2010-11, Boorowa,19.3,755.2,111.7,85.6,141,0
 2002-03 to 2003-04, Sydney,"1,200.70",754.5,136.9,131.5,142.2, ++
 2002-03 to 2003-04, Eurobodalla,281.8,754.4,136.9,125.9,148.2, ++
 2002-03 to 2003-04, Warrumbungle Shire,79.8,754.4,136.9,117.4,158, ++
 2004-05 to 2005-06, Warringah,"1,073.50",754,126.3,121.1,131.8, ++
 2001-02 to 2002-03, Cowra,97.8,753.7,139.2,121.2,159.3, ++
 2006-07 to 2007-08, Tumbarumba,28.6,753.6,112.6,89.6,139,0
 2010-11 to 2011-12, Bega Valley,274,753.5,109.4,100.5,118.7, +
 2002-03 to 2003-04, Broken Hill,158.2,753.1,136.6,122.4,152.4, ++
 2004-05 to 2005-06, Cowra,97,753.1,126.2,109.7,143.6, ++
 2009-10 to 2010-11, Richmond Valley,175.2,752.8,111.3,100.4,123.4, +
 2001-02 to 2002-03, Eurobodalla,273.6,752.5,139,128.1,150.6, ++
