"","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","region_id","LGA"
"52",35,24,29,50,71,55,70,64,61,78,77,71,89,91,95,66,58,"LGA13550","Gunnedah"
"53",49,48,41,47,25,25,36,28,22,21,26,19,30,33,33,28,40,"LGA13650","Guyra"
"54",8,11,12,8,14,7,10,9,13,12,6,12,14,16,15,15,11,"LGA13660","Gwydir"
"55",11,13,14,17,10,14,17,10,18,13,8,12,7,15,13,12,8,"LGA13700","Harden"
"56",160,134,185,202,244,236,263,226,238,193,256,240,235,238,295,324,276,"LGA13800","Hawkesbury"
"57",17,19,19,18,18,16,10,18,22,12,23,8,21,24,15,16,11,"LGA13850","Hay"
"58",264,326,330,352,380,398,396,400,462,370,425,446,438,433,417,476,437,"LGA13950","Holroyd"
"59",111,152,185,164,176,218,207,217,203,217,178,212,223,202,203,188,199,"LGA14000","Hornsby"
"60",10,14,13,21,10,12,9,8,18,19,16,20,16,14,14,25,14,"LGA14100","Hunters Hill"
"61",69,83,121,159,188,247,237,252,236,179,202,221,228,211,251,197,251,"LGA14150","Hurstville"
"62",82,111,91,92,99,115,106,110,112,110,97,129,100,161,137,151,113,"LGA14200","Inverell"
"63",33,20,23,33,17,22,21,25,21,21,25,20,14,21,13,20,42,"LGA14300","Junee"
"64",204,201,228,269,245,197,212,205,208,284,214,207,184,214,222,210,243,"LGA14350","Kempsey"
"65",24,21,28,37,43,36,36,30,29,28,33,22,33,32,40,31,39,"LGA14400","Kiama"
"66",53,56,85,114,82,142,130,135,115,114,112,136,129,149,137,168,185,"LGA14450","Kogarah"
"67",31,46,52,70,49,70,69,75,73,72,62,71,61,80,92,100,73,"LGA14500","Ku-ring-gai"
"68",29,40,32,34,33,33,32,36,38,63,55,39,35,34,32,33,36,"LGA14550","Kyogle"
"69",68,76,71,63,80,58,70,58,63,44,54,51,50,56,59,59,54,"LGA14600","Lachlan"
"70",315,456,616,629,763,685,890,779,729,696,745,645,630,711,795,712,750,"LGA14650","Lake Macquarie"
"71",23,37,22,52,31,30,31,28,25,23,27,22,47,33,23,33,29,"LGA14700","Lane Cove"
"72",43,77,117,125,75,58,61,52,54,42,50,54,78,53,47,70,68,"LGA14750","Leeton"
"73",100,79,96,120,125,107,108,120,114,124,124,116,168,129,117,103,130,"LGA14800","Leichhardt"
"74",168,258,254,262,254,247,226,289,270,272,249,207,207,223,189,214,208,"LGA14850","Lismore"
"75",61,62,75,97,100,105,113,107,110,112,100,86,106,108,98,98,94,"LGA14870","Lithgow"
"76",467,484,553,775,742,697,652,656,684,612,717,798,836,880,975,1023,934,"LGA14900","Liverpool"
"77",16,17,13,29,33,20,34,43,47,26,42,35,39,32,29,35,40,"LGA14920","Liverpool Plains"
