region_id,LGA
LGA24210,Manningham (C)
LGA24250,Mansfield (S)
LGA24330,Maribyrnong (C)
LGA24410,Maroondah (C)
LGA24600,Melbourne (C)
LGA24650,Melton (C)
LGA24780,Mildura (RC)
LGA24850,Mitchell (S)
LGA24900,Moira (S)
LGA24970,Monash (C)
LGA25060,Moonee Valley (C)
LGA25150,Moorabool (S)
LGA25250,Moreland (C)
LGA25340,Mornington Peninsula (S)
LGA25430,Mount Alexander (S)
LGA25490,Moyne (S)
LGA25620,Murrindindi (S)
LGA25710,Nillumbik (S)
LGA25810,Northern Grampians (S)
LGA25900,Port Phillip (C)
LGA25990,Pyrenees (S)
LGA26080,Queenscliffe (B)
LGA26170,South Gippsland (S)
LGA26260,Southern Grampians (S)
LGA26350,Stonnington (C)
LGA26430,Strathbogie (S)
LGA26490,Surf Coast (S)
LGA26610,Swan Hill (RC)
LGA26670,Towong (S)
LGA26700,Wangaratta (RC)
LGA26730,Warrnambool (C)
LGA26810,Wellington (S)
LGA26890,West Wimmera (S)
LGA26980,Whitehorse (C)
LGA27070,Whittlesea (C)
LGA27170,Wodonga (C)
LGA27260,Wyndham (C)
LGA27350,Yarra (C)
LGA27450,Yarra Ranges (S)
LGA27630,Yarriambiack (S)
LGA29399,Unincorporated Vic
LGA29499,No usual address (Vic.)
LGA30250,Aurukun (S)
LGA30300,Balonne (S)
LGA33610,Goondiwindi (R)
LGA30370,Banana (S)
LGA30410,Barcaldine (R)
LGA30450,Barcoo (S)
LGA30760,Blackall-Tambo (R)
LGA30900,Boulia (S)
LGA31000,Brisbane (C)
LGA31750,Bulloo (S)
LGA31820,Bundaberg (R)
LGA31900,Burdekin (S)
LGA31950,Burke (S)
LGA32080,Cairns (R)
LGA32810,Douglas (S)
LGA32250,Carpentaria (S)
LGA32260,Cassowary Coast (R)
LGA32270,Central Highlands (R) (Qld)
LGA32310,Charters Towers (R)
LGA32330,Cherbourg (S)
LGA32450,Cloncurry (S)
LGA32500,Cook (S)
LGA32600,Croydon (S)
LGA32750,Diamantina (S)
LGA32770,Doomadgee (S)
LGA33100,Etheridge (S)
LGA33200,Flinders (S) (Qld)
LGA33220,Fraser Coast (R)
LGA33360,Gladstone (R)
LGA33430,Gold Coast (C)
LGA33610,Goondiwindi (R)
LGA33620,Gympie (R)
LGA33800,Hinchinbrook (S)
LGA33830,Hope Vale (S)
LGA33960,Ipswich (C)
LGA32270,Central Highlands (R) (Qld)
LGA33980,Isaac (R)
LGA34420,Kowanyama (S)
LGA34570,Lockhart River (S)
LGA34580,Lockyer Valley (R)
LGA34590,Logan (C)
LGA34710,Longreach (R)
LGA34770,Mackay (R)
LGA34800,McKinlay (S)
LGA34830,Mapoon (S)
LGA34860,Maranoa (R)
LGA35010,Moreton Bay (R)
LGA35250,Mornington (S)
LGA35300,Mount Isa (C)
LGA35600,Murweh (S)
LGA35670,Napranum (S)
LGA35760,North Burnett (R)
LGA35780,Northern Peninsula Area (R)
LGA35790,Palm Island (S)
LGA35800,Paroo (S)
LGA36070,Pormpuraaw (S)
LGA36150,Quilpie (S)
LGA36250,Redland (C)
LGA36300,Richmond (S)
LGA34530,Livingstone (S)
LGA36370,Rockhampton (R)
LGA36510,Scenic Rim (R)
LGA36580,Somerset (R)
LGA36630,South Burnett (R)
LGA36660,Southern Downs (R)
LGA35740,Noosa (S)
