LGA,region_id,yr_2006_Couple family with children,yr_2007_Couple family with children,yr_2008_Couple family with children,yr_2009_Couple family with children,yr_2010_Couple family with children,yr_2011_Couple family with children,yr_2012_Couple family with children,yr_2013_Couple family with children,yr_2014_Couple family with children,yr_2015_Couple family with children,yr_2016_Couple family with children,yr_2006One parent family,yr_2007One parent family,yr_2008One parent family,yr_2009One parent family,yr_2010One parent family,yr_2011One parent family,yr_2012One parent family,yr_2013One parent family,yr_2014One parent family,yr_2015One parent family,yr_2016One parent family,,,,
Singleton (A),LGA17000,0.40616622,0.428940925,0.452992663,0.478393039,0.505217674,0.497265042,0.565209915,0.64243858,0.73021955,0.82999466,0.225485552,0.1635,0.1572,0.1511,0.1453,0.1397,0.138239682,0.155469743,0.174847342,0.196640146,0.221149185,0.069319438,,,,
Snowy Valleys (A),LGA17080,0.430326797,0.424609104,0.418967381,0.413400619,0.407907822,0.407456025,0.482180445,0.570608771,0.675254197,0.799090821,0.108558345,0.1284,0.1320,0.1357,0.1395,0.1434,0.142819638,0.167293693,0.195961705,0.229542364,0.268877518,0.044923417,,,,
Strathfield (A),LGA17100,0.39683018,0.430207934,0.466393121,0.505621879,0.548150203,0.530341195,0.561000077,0.59343134,0.627737446,0.664026779,0.407705669,0.1724,0.1662,0.1603,0.1545,0.1490,0.147698649,0.157700842,0.168380386,0.179783151,0.191958115,0.107689878,,,,
Tamworth Regional (A),LGA17310,0.434692467,0.424901939,0.415331921,0.405977448,0.396833665,0.395530354,0.376715958,0.358796516,0.341729458,0.325474237,0.470787936,0.1334,0.1474,0.1629,0.1800,0.1988,0.189392929,0.179224976,0.169602911,0.160497426,0.151880788,0.23006474,,,,
Temora (A),LGA17350,0.428449744,0.418451446,0.408686467,0.399149364,0.389834819,0.38845655,0.473372677,0.576851365,0.702950369,0.85661446,0.048792042,0.1394,0.1414,0.1433,0.1453,0.1474,0.147211414,0.179277176,0.218327539,0.265883899,0.32379904,0.018948366,,,,
Tenterfield (A),LGA17400,0.401028278,0.384816792,0.369260653,0.354333367,0.340009514,0.336182336,0.410694524,0.501721755,0.612924461,0.748774378,0.038133586,0.1650,0.1652,0.1654,0.1656,0.1658,0.165811966,0.201876516,0.245785203,0.299244147,0.364330557,0.021553766,,,,
The Hills Shire (A),LGA17420,0.5557141,0.564951384,0.574342212,0.583889139,0.593594758,0.592663234,0.219729247,0.081464379,0.030202829,0.011197666,2.084399179,0.1566,0.1437,0.1319,0.1210,0.1110,0.105007735,0.045814382,0.0199886,0.008720933,0.003804902,0.341781146,,,,
Tweed (A),LGA17550,0.460443764,0.434846779,0.41067278,0.387842663,0.366281717,0.358055821,0.274922532,0.211091104,0.162080037,0.124448345,0.690588978,0.1045,0.1254,0.1504,0.1804,0.2163,0.187896705,0.146662291,0.114476875,0.089354631,0.069745528,0.35283436,,,,
Upper Hunter Shire (A),LGA17620,0.457159624,0.450041794,0.443034785,0.436136874,0.42934636,0.428688301,0.506431196,0.598272814,0.706769967,0.834943148,0.117716722,0.1065,0.1153,0.1249,0.1352,0.1464,0.14180529,0.167071867,0.196840389,0.231913007,0.273234791,0.040738986,,,,
Upper Lachlan Shire (A),LGA17640,0.416048074,0.410402889,0.404834302,0.399341273,0.393922777,0.393467337,0.476201769,0.576332782,0.697518358,0.844185641,0.062529607,0.1472,0.1411,0.1352,0.1295,0.1241,0.122613065,0.148568716,0.180018853,0.21812659,0.264301257,0.018790463,,,,
Uralla (A),LGA17650,0.418151642,0.421870612,0.425622658,0.429408075,0.433227158,0.433027523,0.528829801,0.645827213,0.788708935,0.963201568,0.049818411,0.1449,0.1420,0.1392,0.1364,0.1337,0.133333333,0.162028265,0.196898689,0.239273647,0.290768203,0.018553608,,,,
Wagga Wagga (C),LGA17750,0.384244373,0.396259211,0.408649737,0.4214277,0.434605213,0.432303724,0.409241174,0.387408965,0.366741462,0.347176529,0.524553924,0.1785,0.1775,0.1766,0.1757,0.1748,0.174747007,0.16346376,0.152909062,0.14303587,0.133800181,0.219879994,,,,
Walgett (A),LGA17900,0.432432432,0.414710242,0.397714352,0.381414997,0.365783632,0.36154367,0.443580463,0.544231981,0.667722033,0.819232844,0.033396495,0.1273,0.1538,0.1860,0.2248,0.2718,0.233581584,0.284733178,0.347086364,0.423094157,0.515746754,0.028975209,,,,
Warrumbungle Shire (A),LGA18020,0.390163934,0.384377195,0.378676282,0.373059922,0.367526862,0.367016977,0.443375673,0.535620967,0.647058098,0.781679972,0.061582189,0.1680,0.1651,0.1623,0.1595,0.1567,0.156426839,0.187914727,0.225740958,0.271181408,0.325768779,0.030475288,,,,
Waverley (A),LGA18050,0.406774669,0.411766015,0.416818608,0.421933199,0.427110549,0.426740054,0.400095682,0.375114905,0.351693853,0.329735141,0.533317543,0.1514,0.1440,0.1370,0.1304,0.1240,0.12192573,0.117885609,0.11397936,0.110202549,0.106550886,0.138086215,,,,
Wentworth (A),LGA18200,0.424769703,0.417151103,0.409669149,0.402321389,0.395105418,0.394295302,0.479546058,0.583228916,0.709329089,0.862693434,0.053292279,0.1300,0.1330,0.1361,0.1393,0.1425,0.142058166,0.172500071,0.209465429,0.254352162,0.308857755,0.020290542,,,,
Western Plains Regional (A),LGA18230,0.428243886,0.42555005,0.422873159,0.420213107,0.417569788,0.417468542,0.421665932,0.425905523,0.430187742,0.434513015,0.400678983,0.1927,0.1940,0.1954,0.1968,0.1982,0.198124846,0.198686375,0.199249495,0.199814212,0.200380529,0.19587873,,,,
Willoughby (C),LGA18250,0.456081081,0.470642351,0.485668518,0.501174424,0.517175386,0.514326161,0.439785168,0.376047359,0.321547033,0.274945408,0.812490131,0.0986,0.1054,0.1126,0.1203,0.1286,0.125651189,0.109811499,0.095968574,0.083870698,0.073297891,0.189009948,,,,
Wingecarribee (A),LGA18350,0.381583969,0.384525015,0.387488729,0.390475285,0.39348486,0.393348152,0.393351067,0.393353982,0.393356897,0.393359813,0.393336491,0.1729,0.1674,0.1620,0.1568,0.1518,0.150736807,0.152912562,0.155119721,0.157358738,0.159630074,0.142033791,,,,
Wollondilly (A),LGA18400,0.407480315,0.438355668,0.471570489,0.507302043,0.545741028,0.530981725,0.52631203,0.521683402,0.51709548,0.512547906,0.549660508,0.1465,0.1441,0.1418,0.1396,0.1373,0.137101572,0.138710773,0.14033886,0.141986057,0.143652588,0.130664772,,,,
Wollongong (C),LGA18450,0.436474164,0.439928723,0.443410623,0.446920081,0.450457316,0.450292398,0.095136932,0.020100352,0.004246765,0.000897248,1.870914259,0.1173,0.1323,0.1492,0.1683,0.1898,0.177321836,0.038701876,0.008446987,0.001843621,0.000402385,0.731801674,,,,
Woollahra (A),LGA18500,0.395833333,0.401159775,0.406557891,0.412028646,0.417573016,0.417139101,0.411602307,0.406139004,0.400748217,0.395428983,0.439286278,0.1577,0.1480,0.1389,0.1303,0.1223,0.118807,0.117757132,0.116716541,0.115685145,0.114662864,0.123006474,,,,
Yass Valley (A),LGA18710,0.415924363,0.431805458,0.448292935,0.465409948,0.483180534,0.479448743,0.558177184,0.649833322,0.756539963,0.880768492,0.164534976,0.1330,0.1260,0.1194,0.1132,0.1073,0.105174081,0.122131584,0.141823191,0.164689728,0.1912431,0.037344071,,,,
