LGA,region_id,yr_2006_Couple family with children,yr_2007_Couple family with children,yr_2008_Couple family with children,yr_2009_Couple family with children,yr_2010_Couple family with children,yr_2011_Couple family with children,yr_2012_Couple family with children,yr_2013_Couple family with children,yr_2014_Couple family with children,yr_2015_Couple family with children,yr_2016_Couple family with children,yr_2006One parent family,yr_2007One parent family,yr_2008One parent family,yr_2009One parent family,yr_2010One parent family,yr_2011One parent family,yr_2012One parent family,yr_2013One parent family,yr_2014One parent family,yr_2015One parent family,yr_2016One parent family,,,,
Cobar (A),LGA11750,0.52289282,0.499742765,0.477617633,0.456472048,0.436262642,0.430292599,0.528766586,0.649776693,0.798480393,0.981215462,0.036396652,0.1332,0.1373,0.1416,0.1460,0.1505,0.149741824,0.183683676,0.225319097,0.276391984,0.339041518,0.01397442,,,,
Coffs Harbour (C),LGA11800,0.47596069,0.451341289,0.427995343,0.405856983,0.384863746,0.377483085,0.330945125,0.290144591,0.254374147,0.223013658,0.563634928,0.1767,0.1805,0.1845,0.1886,0.1927,0.192205683,0.167305896,0.145631817,0.126765563,0.110343387,0.291804832,,,,
Coolamon (A),LGA12000,0.448275862,0.438848231,0.429618871,0.420583613,0.411738374,0.410565338,0.504364102,0.619592361,0.761145952,0.935039222,0.035370283,0.2026,0.1844,0.1678,0.1527,0.1390,0.129749768,0.159463383,0.195981625,0.240862804,0.296022089,0.01089531,,,,
Coonamble (A),LGA12150,0.461651917,0.432637776,0.405447131,0.379965378,0.356085115,0.345595353,0.426151779,0.525485476,0.647973325,0.799012436,0.023369651,0.1879,0.1976,0.2077,0.2184,0.2296,0.226524685,0.278754309,0.343026478,0.422117831,0.519445217,0.01760619,,,,
Cowra (A),LGA12350,0.505385253,0.474239445,0.445013086,0.417587885,0.39185284,0.380802021,0.453067108,0.539045996,0.641341162,0.76304896,0.091741671,0.1384,0.1396,0.1409,0.1421,0.1434,0.143353331,0.168513471,0.1980895,0.23285646,0.273725415,0.042712774,,,,
Dungog (A),LGA12700,0.481416158,0.465681105,0.450460351,0.435737087,0.421495052,0.418475947,0.50329784,0.605312484,0.728004722,0.875565743,0.079188378,0.1562,0.1515,0.1470,0.1426,0.1383,0.137505321,0.165032607,0.198070599,0.23772249,0.285312319,0.027396179,,,,
Eurobodalla (A),LGA12750,0.395926966,0.372482615,0.350426493,0.329676399,0.310154998,0.302149561,0.322203768,0.343589009,0.366393626,0.390711826,0.221932733,0.2399,0.2200,0.2018,0.1850,0.1697,0.160359269,0.1680987,0.176211659,0.184716175,0.193631144,0.129401547,,,,
Fairfield (C),LGA12850,0.453638945,0.47309149,0.493378182,0.514534791,0.536598618,0.531449126,0.144869595,0.039490515,0.010764859,0.002934431,2.077767251,0.1814,0.1938,0.2069,0.2210,0.2360,0.230750257,0.054089961,0.012679179,0.002972115,0.000696691,0.937391442,,,,
Forbes (A),LGA12900,0.468160978,0.444194777,0.421455459,0.399880217,0.37940946,0.372296173,0.447665337,0.538292544,0.647266694,0.778302018,0.070819517,0.1668,0.1682,0.1695,0.1709,0.1723,0.172212978,0.207213167,0.249326718,0.299999335,0.360970544,0.032212222,,,,
Georges River (A),LGA12930,0.515902223,0.515044331,0.514187865,0.513332823,0.512479203,0.512470653,0.253844277,0.12573777,0.062282227,0.030850521,1.546976157,0.1494,0.1496,0.1499,0.1502,0.1505,0.150476454,0.074030353,0.036420935,0.017918117,0.00881523,0.456260856,,,,
