LGA,region_id,2006_Government_ppt,2007_Government_ppt,2008_Government_ppt,2009_Government_ppt,2010_Government_ppt,2011_Government_ppt,2012_Government_ppt,2013_Government_ppt,2014_Government_ppt,2015_Government_ppt,2016_Government_ppt
Hunters Hill (A),LGA14100,0.318,0.296800395,0.277014071,0.258546811,0.241310678,0.233201581,0.248501186,0.264804548,0.282177522,0.30069028,0.2944
Inner West (A),LGA14170,0.0911,0.121799484,0.162844285,0.217720636,0.291089585,0.213897937,0.181573453,0.154133879,0.130841003,0.111068171,0.0846
Inverell (A),LGA14200,0.281,0.226788697,0.183035989,0.147724176,0.119224816,0.064154786,0.09096609,0.128982262,0.182885997,0.259316958,0.1714
Junee (A),LGA14300,0.345,0.260781987,0.197122449,0.149002852,0.112629739,0.00812795,0.045420962,0.253823399,1.418426973,7.926515382,0.1573
Kempsey (A),LGA14350,0.2113,0.193973489,0.178067745,0.163466266,0.150062101,0.141993958,0.153345468,0.16560446,0.178843479,0.193140874,0.1874
Kiama (A),LGA14400,0.0572,0.163192887,0.465592979,1.328347244,3.789804576,0.481171548,0.379528661,0.299356862,0.236120588,0.186242372,0.0746
Ku-ring-gai (A),LGA14500,0.0102,0.082536799,0.667874823,5.404338238,43.73105677,0.299547196,0.226035397,0.170564109,0.128706016,0.097120306,0.0055
Kyogle (A),LGA14550,0.159,0.137327762,0.118609523,0.102442643,0.088479364,0.072311047,0.086108285,0.102538092,0.122102772,0.145400472,0.1275
Lachlan (A),LGA14600,0.496,0.422643087,0.360135441,0.306872489,0.261486968,0.202572347,0.26365426,0.343154285,0.44662606,0.581297818,0.4469
Lake Macquarie (C),LGA14650,0.3135,0.28352691,0.256419486,0.231903747,0.209731907,0.193607641,0.209980731,0.227738467,0.246997946,0.267886169,0.2591
Lane Cove (A),LGA14700,0.0828,0.142477795,0.245168141,0.421872175,0.72593499,0.32151118,0.251958385,0.197452007,0.154737041,0.121262642,0.0433
Leeton (A),LGA14750,0.295,0.305146889,0.315642793,0.326499717,0.337730077,0.335587557,0.293290668,0.256324807,0.224018061,0.195783203,0.1664
Lismore (C),LGA14850,0.2011,0.198038622,0.195023848,0.192054969,0.189131285,0.188854489,0.183090867,0.177503144,0.172085951,0.166834086,0.1658
Lithgow (C),LGA14870,0.3501,0.332603294,0.315981009,0.300189445,0.285187084,0.280113177,0.285384883,0.290755802,0.296227801,0.301802782,0.3012
Liverpool (C),LGA14900,0.3511,0.311960409,0.277183985,0.246284333,0.218829283,0.194541638,0.214531228,0.236574794,0.260883386,0.287689741,0.2745
Liverpool Plains (A),LGA14920,0.3086,0.318910485,0.329565448,0.340576399,0.351955232,0.349841939,0.308806454,0.272584317,0.240610936,0.212387944,0.1857
Maitland (C),LGA15050,0.3072,0.234440948,0.178914578,0.136539399,0.104200606,0.016163793,0.064047845,0.253784888,1.005604009,3.984632141,0.2077
Mid-Coast (A),LGA15240,0.1672,0.179531054,0.192771527,0.20698849,0.222253958,0.216524217,0.196193162,0.177771141,0.161078898,0.145954014,0.1352
Mid-Western Regional (A),LGA15270,0.2196,0.226106995,0.2328068,0.239705128,0.24680786,0.245627981,0.220520986,0.197980315,0.177743652,0.159575489,0.1452
Moree Plains (A),LGA15300,0.3811,0.378800207,0.376514292,0.374242171,0.371983762,0.371900826,0.35840062,0.345390478,0.332852612,0.320769877,0.3179
Mosman (A),LGA15350,0.0178,0.077007407,0.333153977,1.44131034,6.235481606,0.25462963,0.193822222,0.147536066,0.11230338,0.085484516,0.0114
Murray River (A),LGA15520,0.0517,0.122336644,0.289482677,0.68499689,1.620894015,0.334246575,0.260734932,0.203390878,0.158658639,0.123764467,0.0402
Muswellbrook (A),LGA15650,0.2874,0.277726808,0.268379193,0.259346195,0.250617227,0.248707232,0.225855424,0.205103294,0.186257919,0.169144101,0.1573
Nambucca (A),LGA15700,0.2514,0.198436512,0.156631064,0.123632944,0.097586675,0.03954605,0.082209537,0.1708997,0.355271521,0.738549299,0.2102
Narrabri (A),LGA15750,0.4099,0.343139286,0.287251938,0.240467004,0.201301966,0.142857143,0.171492857,0.2058686,0.247134961,0.296673164,0.2574
Narrandera (A),LGA15800,0.3722,0.342498103,0.315166444,0.290015877,0.266872347,0.253392412,0.230144309,0.20902916,0.189851271,0.172432905,0.1604
Narromine (A),LGA15850,0.3558,0.337683333,0.320489133,0.304170429,0.288682643,0.283333333,0.281025,0.278735473,0.276464599,0.274212225,0.2741
Newcastle (C),LGA15900,0.2596,0.249623926,0.240031218,0.230807146,0.221937542,0.219695703,0.218546777,0.21740386,0.21626692,0.215135925,0.2151
North Sydney (A),LGA15950,0.0419,0.07312322,0.127613493,0.222709059,0.388668344,0.166792881,0.134019661,0.107686068,0.086526776,0.069525085,0.0357
Oberon (A),LGA16100,0.1563,0.163851106,0.171767019,0.180065361,0.188764611,0.186504425,0.166603319,0.148825776,0.132945201,0.118759175,0.1069
