LGA,region_id,2006_Non-Indigenous_ppt,2007_Non-Indigenous_ppt,2008_Non-Indigenous_ppt,2009_Non-Indigenous_ppt,2010_Non-Indigenous_ppt,2011_Total_Non_Indig_Males_ppt,2012_Non-Indigenous_ppt,2013_Non-Indigenous_ppt,2014_Non-Indigenous_ppt,2015_Non-Indigenous_ppt,2016_Non-Indigenous_ppt,2006_Total_Indig_Males_ppt,2007_Total_Indig_Males_ppt,2008_Total_Indig_Males_ppt,2009_Total_Indig_Males_ppt,2010_Total_Indig_Males_ppt,2011_Total_Indig_Males_ppt,2012_Total_Indig_Males_ppt,2013_Total_Indig_Males_ppt,2014_Total_Indig_Males_ppt,2015_Total_Indig_Males_ppt,2016_Indigenous_ppt
Penrith (C),LGA16350,0.927,0.937449646,0.948017087,0.958703649,0.969510676,0.968798585,0.966062853,0.963334847,0.960614544,0.957901922,0.957855658,0.073,0.062801574,0.054027914,0.046479973,0.039986514,0.032206297,0.034690808,0.037366984,0.040249609,0.043354611,0.042144342
Port Macquarie-Hastings (A),LGA16380,0.9722,0.970141328,0.968087015,0.966037052,0.96399143,0.963965311,0.961983184,0.960005132,0.958031147,0.956061222,0.956036801,0.0278,0.030195432,0.03279727,0.0356233,0.038692839,0.037381728,0.039027096,0.040744885,0.042538283,0.044410618,0.043963199
Port Stephens (A),LGA16400,0.976,0.972722042,0.969455093,0.966199117,0.962954076,0.962888168,0.959341196,0.955807291,0.952286403,0.948778485,0.948700282,0.024,0.027635551,0.03182182,0.03664223,0.042192843,0.038542204,0.041731582,0.045184883,0.048923945,0.052972416,0.051299718
Queanbeyan-Palerang Regional (A),LGA16490,0.9941,0.988771388,0.983471338,0.978199697,0.972956314,0.97278555,0.971432822,0.970081974,0.968733005,0.967385912,0.967374636,0.0059,0.011418949,0.022100406,0.042773459,0.082784397,0.027975796,0.029138188,0.030348877,0.031609871,0.032923258,0.032625364
Randwick (C),LGA16550,0.97,0.973483628,0.976979766,0.98048846,0.984009756,0.98393451,0.983513863,0.983093396,0.982673109,0.982253002,0.982251923,0.03,0.026581951,0.023553337,0.020869789,0.01849199,0.016327804,0.016682872,0.017045662,0.017416341,0.017795081,0.017748077
Richmond Valley (A),LGA16610,0.9736,0.963496535,0.953497917,0.943603059,0.933810885,0.933186138,0.930322716,0.92746808,0.924622204,0.92178506,0.92173245,0.0264,0.037699393,0.053835009,0.076876787,0.109780613,0.071597572,0.073265067,0.074971397,0.076717467,0.078504203,0.07826755
Rockdale (C),LGA16650,0.9858,0.987695951,0.989595549,0.991498801,0.993405712,0.993383806,0.993234734,0.993085684,0.992936656,0.992787651,0.992787517,0.0142,0.012315065,0.01068034,0.009262611,0.008033074,0.00666026,0.006798316,0.006939233,0.007083071,0.007229891,0.007212483
Ryde (C),LGA16700,0.9409,0.954796798,0.968898848,0.98320918,0.997730872,0.996487193,0.996393152,0.99629912,0.996205097,0.996111082,0.996111029,0.0591,0.045206298,0.034578838,0.026449767,0.020231744,0.00352519,0.003616136,0.003709427,0.003805125,0.003903292,0.003888971
Shellharbour (C),LGA16900,0.9946,0.987930521,0.981305765,0.974725432,0.968189225,0.967922082,0.965862883,0.963808065,0.961757619,0.959711535,0.959685287,0.0054,0.012335253,0.028177494,0.064366023,0.147031701,0.033141012,0.034934438,0.036824914,0.038817693,0.040918312,0.040314713
Shoalhaven (C),LGA16950,0.9971,0.985452256,0.973940576,0.962563372,0.951319072,0.950509024,0.947762355,0.945023624,0.942292806,0.93956988,0.93952235,0.0029,0.015191966,0.079584774,0.416913526,2.184047002,0.052067866,0.054170312,0.056357653,0.058633316,0.061000868,0.06047765
Singleton (A),LGA17000,0.9757,0.972474973,0.969260606,0.966056863,0.96286371,0.962799892,0.957160416,0.951553973,0.945980368,0.94043941,0.940241988,0.0243,0.027884356,0.03199742,0.036717179,0.042133124,0.038637424,0.043917571,0.049919297,0.056741212,0.064495402,0.059758012
Snowy Valleys (A),LGA17080,0.9541,0.956235202,0.958375183,0.960519953,0.962669523,0.96264081,0.960138305,0.957642306,0.955152795,0.952669756,0.95263079,0.0459,0.044127266,0.042422999,0.040784552,0.039209386,0.038809065,0.040949101,0.043207145,0.045589703,0.048103642,0.04736921
Strathfield (A),LGA17100,0.9721,0.978126698,0.984190759,0.990292416,0.9964319,0.996206791,0.996393779,0.996580801,0.996767859,0.996954952,0.996954741,0.0279,0.021876913,0.017154098,0.01345085,0.010547063,0.003807652,0.003617054,0.003435996,0.003264002,0.003100617,0.003045259
Tamworth Regional (A),LGA17310,0.9932,0.9729314,0.953076429,0.933626646,0.914573781,0.9121256,0.906320551,0.900552446,0.894821052,0.889126134,0.888905402,0.0068,0.02918506,0.125259961,0.53760581,2.307361455,0.096340241,0.10002883,0.103858645,0.107835092,0.111963786,0.111094598
Temora (A),LGA17350,0.9839,0.982881772,0.981864598,0.980848477,0.979833407,0.979827089,0.978215326,0.976606213,0.974999748,0.973395925,0.973380035,0.0161,0.017222059,0.018422317,0.019706226,0.021079614,0.020588235,0.022096168,0.023714545,0.025451456,0.027315582,0.026619965
Tenterfield (A),LGA17400,0.928,0.928924142,0.929849205,0.930775189,0.931702095,0.931696569,0.932117207,0.932538035,0.932959053,0.933380261,0.933379121,0.072,0.072327703,0.072656897,0.072987589,0.073319787,0.073310811,0.071638328,0.070004,0.068406958,0.066846349,0.066620879
The Hills Shire (A),LGA17420,0.9932,0.993982743,0.994766103,0.995550081,0.996334676,0.996330973,0.99588614,0.995441505,0.994997069,0.994552831,0.99455164,0.0068,0.006020635,0.005330594,0.004719641,0.004178711,0.003682538,0.004123994,0.00461837,0.005172011,0.005792022,0.00544836
Tweed (A),LGA17550,0.9695,0.967621926,0.965747491,0.963876686,0.962009505,0.961987705,0.960540939,0.95909635,0.957653933,0.956213685,0.956200643,0.0305,0.032753581,0.035173675,0.037772584,0.040563522,0.039514325,0.040585583,0.041685884,0.042816014,0.043976783,0.043799357
Upper Hunter Shire (A),LGA17620,0.97,0.966972484,0.963954417,0.960945771,0.957946514,0.957889936,0.95413398,0.950392751,0.946666192,0.942954245,0.942866112,0.03,0.033490319,0.037386716,0.041736434,0.046592217,0.043961276,0.047254429,0.050794273,0.054599288,0.058689338,0.057133888
Upper Lachlan Shire (A),LGA17640,0.9684,0.972319108,0.976254077,0.980204971,0.984171854,0.984076433,0.981754804,0.979438652,0.977127964,0.974822727,0.974789916,0.0316,0.027745307,0.024360825,0.021389196,0.018780058,0.01618123,0.018438443,0.021010529,0.023941409,0.027281135,0.025210084
Uralla (A),LGA17650,0.9664,0.959928476,0.953500289,0.947115148,0.940772765,0.940513904,0.936500206,0.932503637,0.928524124,0.924561593,0.924459113,0.0336,0.041012126,0.050059359,0.061102402,0.07458153,0.063248503,0.066321599,0.06954401,0.072922989,0.076466146,0.075540887
Wagga Wagga (C),LGA17750,0.9396,0.942785882,0.945982566,0.949190089,0.952408487,0.952343527,0.949725497,0.947114663,0.944511008,0.941914509,0.941871406,0.0604,0.057810316,0.055331666,0.052959289,0.05068863,0.050041263,0.052063096,0.054166617,0.056355128,0.058632062,0.058128594
Walgett (A),LGA17900,0.9766,0.915268352,0.857788405,0.803918267,0.753431239,0.731273408,0.721949454,0.712744383,0.703656679,0.694684846,0.693977591,0.0234,0.109419398,0.511649774,2.392496168,11.18741414,0.367477593,0.352113797,0.337392343,0.323286375,0.309770161,0.306022409
Warrumbungle Shire (A),LGA18020,0.8846,0.88915446,0.893732369,0.898333847,0.902959017,0.902817839,0.900436368,0.898061179,0.895692255,0.89332958,0.893291955,0.1154,0.113460789,0.111554165,0.10967958,0.107836496,0.107643156,0.107409378,0.107176108,0.106943345,0.106711087,0.106708045
Waverley (A),LGA18050,0.9965,0.996263327,0.996026709,0.995790148,0.995553643,0.995553306,0.995378618,0.995203961,0.995029335,0.994854739,0.994854555,0.0035,0.003741639,0.00399996,0.004276116,0.004571338,0.004466555,0.004636278,0.004812449,0.004995315,0.00518513,0.005145445
Wentworth (A),LGA18200,0.9769,0.958538664,0.94052244,0.922844839,0.905499498,0.903454658,0.902368912,0.901284471,0.900201334,0.899119498,0.899111675,0.0231,0.044040603,0.083964272,0.160079529,0.305194759,0.10686241,0.105368889,0.103896241,0.102444175,0.101012404,0.100888325
Western Plains Regional (A),LGA18230,0.9846,0.950491825,0.917565215,0.885779236,0.855094376,0.848167302,0.842884854,0.837635305,0.832418451,0.827234089,0.82703751,0.0154,0.056303169,0.205847197,0.752587631,2.751497957,0.179012676,0.177500129,0.176000363,0.174513269,0.173038739,0.17296249
Willoughby (C),LGA18250,0.8404,0.879749482,0.920941398,0.964062015,1.00920164,0.997797927,0.997892912,0.997987905,0.998082907,0.998177918,0.998177864,0.1596,0.120251733,0.090604507,0.068266598,0.051435944,0.002206932,0.002110733,0.002018727,0.001930732,0.001846572,0.001822136
Wingecarribee (A),LGA18350,0.9113,0.928917036,0.946874641,0.965179398,0.983838019,0.981768146,0.981155382,0.980543001,0.979931002,0.979319385,0.979317091,0.0887,0.071167607,0.057100657,0.045814173,0.036758568,0.018570427,0.019098548,0.019641687,0.020200273,0.020774744,0.020682909
Wollondilly (A),LGA18400,0.9986,0.992944897,0.98732182,0.981730586,0.976171016,0.97597959,0.973663371,0.97135265,0.969047412,0.966747645,0.966714716,0.0014,0.007202898,0.037058382,0.190662666,0.980945478,0.024611591,0.026780014,0.029139488,0.031706845,0.034500401,0.033285284
Wollongong (C),LGA18450,0.9871,0.984636571,0.98217929,0.979728141,0.97728311,0.977246285,0.9761316,0.975018188,0.973906045,0.972795171,0.972787548,0.0129,0.015495875,0.018614121,0.022359852,0.02685934,0.023283502,0.024265739,0.025289413,0.026356272,0.027468138,0.027212452
Woollahra (A),LGA18500,0.982,0.985857444,0.989730042,0.993617851,0.997520932,0.997429778,0.997235777,0.997041814,0.996847888,0.996654,0.996653774,0.018,0.014144211,0.011114373,0.008733558,0.006862738,0.002576845,0.00276919,0.002975893,0.003198025,0.003436737,0.003346226
Yass Valley (A),LGA18710,0.9975,0.99246008,0.987445624,0.982456505,0.977492593,0.97734032,0.976164696,0.974990485,0.973817687,0.9726463,0.972637822,0.0025,0.007671261,0.023539301,0.072230452,0.22163947,0.023185046,0.024229329,0.025320648,0.026461121,0.027652962,0.027362178
