LGA,region_id,2006_Non-Indigenous_ppt,2007_Non-Indigenous_ppt,2008_Non-Indigenous_ppt,2009_Non-Indigenous_ppt,2010_Non-Indigenous_ppt,2011_Total_Non_Indig_Males_ppt,2012_Non-Indigenous_ppt,2013_Non-Indigenous_ppt,2014_Non-Indigenous_ppt,2015_Non-Indigenous_ppt,2016_Non-Indigenous_ppt,2006_Total_Indig_Males_ppt,2007_Total_Indig_Males_ppt,2008_Total_Indig_Males_ppt,2009_Total_Indig_Males_ppt,2010_Total_Indig_Males_ppt,2011_Total_Indig_Males_ppt,2012_Total_Indig_Males_ppt,2013_Total_Indig_Males_ppt,2014_Total_Indig_Males_ppt,2015_Total_Indig_Males_ppt,2016_Indigenous_ppt
Clarence Valley (A),LGA11730,0.642,0.716579857,0.799823508,0.892737406,0.996444927,0.940319429,0.938098924,0.935883663,0.933673632,0.931468821,0.931437409,0.358,0.2843671,0.225878904,0.179420472,0.14251754,0.063468401,0.064741949,0.066041051,0.067366221,0.068717981,0.068562591
Cobar (A),LGA11750,0.9634,0.937103887,0.911525529,0.886645336,0.86244425,0.858215548,0.855218377,0.852231672,0.849255399,0.84628952,0.846226863,0.0366,0.06875211,0.129148979,0.242602865,0.455722921,0.165208441,0.162349615,0.159540259,0.156779517,0.154066548,0.153773137
Coffs Harbour (C),LGA11800,0.9487,0.951012786,0.95333121,0.955655285,0.957985027,0.957951143,0.955188081,0.952432988,0.949685843,0.946946621,0.946898895,0.0513,0.049448644,0.0476641,0.045943959,0.044285896,0.043894574,0.046196207,0.048618527,0.051167862,0.053850873,0.053101105
Coolamon (A),LGA12000,0.9625,0.965981862,0.96947632,0.972983419,0.976503206,0.976427449,0.973525967,0.970633107,0.967748843,0.96487315,0.964821521,0.0375,0.034160408,0.031118225,0.028346967,0.025822506,0.024141631,0.026900843,0.029975413,0.033401383,0.037218917,0.035178479
Coonamble (A),LGA12150,0.9876,0.916080977,0.849741147,0.788205448,0.73112598,0.70152391,0.69225739,0.683113273,0.674089942,0.665185801,0.664457831,0.0124,0.115667041,1.078940679,10.06434484,93.88007974,0.425468165,0.402986666,0.381693077,0.361524629,0.34242187,0.335542169
Cowra (A),LGA12350,0.9609,0.952517842,0.944208804,0.935972247,0.92780754,0.927371369,0.923630395,0.919904512,0.916193659,0.912497775,0.912407473,0.0391,0.048904166,0.061166686,0.076503984,0.095687047,0.078316664,0.080635629,0.08302326,0.085481589,0.088012709,0.087592527
Dungog (A),LGA12700,0.9659,0.966149739,0.966399542,0.96664941,0.966899342,0.966898955,0.961368694,0.955870064,0.950402883,0.944966973,0.944777911,0.0341,0.034133559,0.03416715,0.034200775,0.034234433,0.034234234,0.039481198,0.045532346,0.052510932,0.060559103,0.055222089
Eurobodalla (A),LGA12750,0.8874,0.902071896,0.916986371,0.932147436,0.947559168,0.946087585,0.944730915,0.943376189,0.942023407,0.940672564,0.940660903,0.1126,0.098696148,0.086509144,0.075826992,0.066463872,0.056984592,0.057573218,0.058167925,0.058768774,0.05937583,0.059339097
Fairfield (C),LGA12850,0.9762,0.980258295,0.984333462,0.988425569,0.992534689,0.992433181,0.992349728,0.992266283,0.992182844,0.992099413,0.992099371,0.0238,0.019756128,0.016399353,0.013612929,0.011299949,0.007624513,0.007693542,0.007763196,0.00783348,0.007904401,0.007900629
Forbes (A),LGA12900,0.9524,0.939704236,0.92717771,0.914818166,0.902623379,0.901616944,0.897267153,0.892938348,0.888630426,0.884343288,0.884217781,0.0476,0.062979616,0.083328404,0.11025191,0.145874432,0.109118464,0.110784403,0.112475776,0.114192972,0.115936384,0.115782219
