LGA,region_id,yr2006_M_Born_Aust_ppt,yr2007_M_Born_Aust_ppt,yr2008_M_Born_Aust_ppt,yr2009_M_Born_Aust_ppt,yr2010_M_Born_Aust_ppt,yr2011_M_Born_Aust_ppt,yr2012_M_Born_Aust_ppt,yr2013_M_Born_Aust_ppt,yr2014_M_Born_Aust_ppt,yr2015_M_Born_Aust_ppt,yr2016_M_Born_Aust_ppt,yr2006_M_Born_OS_ppt,yr2007_M_Born_OS_ppt,yr2008_M_Born_OS_ppt,yr2009_M_Born_OS_ppt,yr2010_M_Born_OS_ppt,,yr2011_M_Born_OS_ppt,yr2012_M_Born_OS_ppt,yr2013_M_Born_OS_ppt,yr2014_M_Born_OS_ppt,yr2015_M_Born_OS_ppt,yr2016_M_Born_OS_ppt
Cessnock (C),LGA11720,0.4619,0.455515104,0.449218468,0.443008871,0.436885109,0.436360418,0.439295313,0.442249949,0.445224456,0.44821897,0.4481,0.0328,0.039701001,0.048053948,0.058164325,0.070401888,0.210396377,0.060404005,0.054803003,0.049721359,0.045110913,0.040927974,0.038
Clarence Valley (A),LGA11730,0.4596,0.453045918,0.446585299,0.440216812,0.433939141,0.433383671,0.335237753,0.259318379,0.200592031,0.155165103,0.0408,0.0361,0.042130874,0.049169268,0.057383497,0.066969998,0.167060232,0.060223497,0.045992623,0.035124519,0.026824559,0.020485888,0.0033
Cobar (A),LGA11750,0.4865,0.474754032,0.463291657,0.452106027,0.441190461,0.439516129,0.439512097,0.439508065,0.439504032,0.4395,0.4395,0.0319,0.044616851,0.06240324,0.087280127,0.122074118,0.398647354,0.082767402,0.087325552,0.092134727,0.097208751,0.102562212,0.101
Coffs Harbour (C),LGA11800,0.427,0.41996789,0.413051589,0.40624919,0.399558818,0.398871559,0.30880367,0.239073717,0.185089258,0.143294855,0.0386,0.0582,0.06526139,0.073179536,0.082058388,0.092014509,0.121329719,0.086445559,0.065159169,0.049114349,0.037020411,0.02790449,0.0013
Coolamon (A),LGA12000,0.4733,0.465279878,0.457395658,0.449645037,0.442025751,0.441219512,0.339339634,0.260984349,0.200721707,0.154374022,0.0337,0.0204,0.027312195,0.036566471,0.048956401,0.06554445,0.338833094,0.04804878,0.036236585,0.027328272,0.020609956,0.015543255,0.0008
Coonamble (A),LGA12150,0.4889,0.480661101,0.472561043,0.464597486,0.456768131,0.455944403,0.369633302,0.299661049,0.24293467,0.196946697,0.1107,0.0094,0.018901576,0.038007402,0.076425511,0.153676872,1.010805965,0.047406304,0.037479728,0.029631714,0.023427023,0.018521554,0.0077
Cowra (A),LGA12350,0.4663,0.457746897,0.449350678,0.441108468,0.43301744,0.432087586,0.34481569,0.275170738,0.219592487,0.175239783,0.083,0.0305,0.039462093,0.051057598,0.066060317,0.085471421,0.293839099,0.06634837,0.050886278,0.039027534,0.029932399,0.022956832,0.0045
Dungog (A),LGA12700,0.4776,0.471418322,0.465316654,0.459293962,0.453349223,0.452873287,0.414904965,0.380119859,0.348251093,0.319054163,0.301,0.0231,0.030008337,0.038982697,0.05064095,0.065785744,0.299062223,0.050733349,0.050775012,0.050816709,0.05085844,0.050900205,0.0509
Eurobodalla (A),LGA12750,0.4197,0.413051489,0.406508298,0.400068758,0.393731228,0.393105957,0.393104468,0.393102978,0.393101489,0.3931,0.3931,0.0699,0.077102541,0.085047237,0.093810559,0.10347686,0.103040647,0.098710165,0.101057624,0.103460908,0.105921346,0.108440296,0.1081
Fairfield (C),LGA12850,0.2262,0.223784157,0.221394116,0.2190296,0.216690338,0.216536628,0.184327471,0.156909327,0.133569548,0.113701488,0.0877,0.2668,0.269153072,0.271526896,0.273921658,0.276337539,0.008819609,0.276212287,0.208034215,0.156684683,0.118009866,0.088881238,0.0035
Forbes (A),LGA12900,0.4785,0.472166898,0.465917617,0.459751048,0.453666094,0.453167594,0.453300695,0.453433836,0.453567016,0.453700235,0.4537,0.0161,0.022760858,0.032177431,0.045489809,0.064309755,0.413717863,0.04274343,0.045682573,0.048823818,0.052181062,0.055769159,0.0545
