LGA,region_id,yr2006_M_Born_Aust_ppt,yr2007_M_Born_Aust_ppt,yr2008_M_Born_Aust_ppt,yr2009_M_Born_Aust_ppt,yr2010_M_Born_Aust_ppt,yr2011_M_Born_Aust_ppt,yr2012_M_Born_Aust_ppt,yr2013_M_Born_Aust_ppt,yr2014_M_Born_Aust_ppt,yr2015_M_Born_Aust_ppt,yr2016_M_Born_Aust_ppt,yr2006_M_Born_OS_ppt,yr2007_M_Born_OS_ppt,yr2008_M_Born_OS_ppt,yr2009_M_Born_OS_ppt,yr2010_M_Born_OS_ppt,,yr2011_M_Born_OS_ppt,yr2012_M_Born_OS_ppt,yr2013_M_Born_OS_ppt,yr2014_M_Born_OS_ppt,yr2015_M_Born_OS_ppt,yr2016_M_Born_OS_ppt
Port Stephens (A),LGA16400,0.4395,0.431756747,0.424149917,0.416677107,0.409335955,0.408526988,0.418345241,0.428399459,0.438695313,0.449238611,0.4478,0.0535,0.06107985,0.069733609,0.079613427,0.090893012,0.141679437,0.083819399,0.08841455,0.093261615,0.098374407,0.103767492,0.1022
Queanbeyan-Palerang Regional (A),LGA16490,0.4112,0.404652675,0.398209599,0.391869113,0.385629583,0.385010698,0.386733024,0.388463054,0.390200823,0.391946366,0.3919,0.0878,0.094879115,0.102529003,0.110795684,0.119728889,0.080627734,0.11611646,0.119612345,0.12321348,0.126923033,0.130744268,0.1301
Randwick (C),LGA16550,0.2994,0.291024661,0.282883611,0.274970297,0.267278348,0.265898643,0.250998982,0.236934225,0.223657589,0.211124911,0.2063,0.1908,0.199440076,0.208471403,0.2179117,0.227779486,0.045283415,0.225360302,0.171870227,0.131076212,0.099964803,0.076237799,0.0114
Richmond Valley (A),LGA16610,0.469,0.461877961,0.454864074,0.447956697,0.441154213,0.440511843,0.464308882,0.489391469,0.515829052,0.543694827,0.5357,0.0247,0.032103818,0.041726929,0.054234565,0.070491362,0.299749733,0.054315274,0.061536455,0.069717688,0.078986611,0.089487832,0.0832
Rockdale (C),LGA16650,0.2672,0.261600431,0.25611821,0.250750877,0.245496024,0.244801726,0.244801294,0.244800863,0.244800431,0.2448,0.2448,0.2242,0.230503606,0.236984444,0.243647497,0.250497889,0.028115994,0.249414424,0.303810818,0.370070871,0.450782005,0.549095948,0.467
Ryde (C),LGA16700,0.2896,0.282586071,0.275742015,0.269063718,0.262547165,0.261544285,0.261783213,0.262022361,0.262261726,0.26250131,0.2625,0.1914,0.199623973,0.208201309,0.217147191,0.226477455,0.042967465,0.224295891,0.196821918,0.172713229,0.151557609,0.132993338,0.1144
Shellharbour (C),LGA16900,0.397,0.394047461,0.39111688,0.388208095,0.385320942,0.385189844,0.386667383,0.388150589,0.389639486,0.391134093,0.3911,0.0933,0.096144326,0.099075364,0.102095757,0.105208229,0.030485813,0.104677305,0.111482979,0.118731129,0.126450522,0.134671798,0.1319
Shoalhaven (C),LGA16950,0.4255,0.418723117,0.412054168,0.405491434,0.399033225,0.398392467,0.35111935,0.309455645,0.272735742,0.24037301,0.2093,0.0656,0.07273388,0.080643556,0.089413395,0.099136939,0.10874817,0.09413552,0.07535164,0.060315911,0.048280424,0.038646508,0.019
Singleton (A),LGA17000,0.472,0.465567608,0.459222876,0.45296461,0.446791632,0.446270432,0.366202824,0.300500546,0.246586241,0.202344972,0.126,0.0397,0.04653933,0.054556908,0.063955717,0.074973708,0.172275317,0.06705732,0.05349299,0.042672448,0.034040681,0.027154944,0.0128
Snowy Valleys (A),LGA17080,0.4701,0.462426665,0.454878581,0.447453702,0.440150017,0.439406661,0.369779996,0.3111861,0.261876765,0.220380794,0.1609,0.0397,0.047792072,0.057533556,0.069260652,0.083378089,0.203830541,0.07206829,0.114251217,0.181124607,0.287140251,0.455208848,0.2408
Strathfield (A),LGA17100,0.2262,0.220660259,0.215256189,0.209984466,0.204841851,0.204041036,0.204030777,0.204020518,0.20401026,0.204000003,0.204,0.2653,0.273430085,0.281809316,0.290445328,0.299345988,0.030644875,0.297820342,0.234215256,0.184194222,0.144856113,0.11391939,0.0434
Tamworth Regional (A),LGA17310,0.4611,0.454641528,0.448273518,0.441994702,0.435803832,0.435266112,0.340624584,0.266561315,0.208601898,0.163244812,0.0567,0.0258,0.032766649,0.041614468,0.052851421,0.067122634,0.270025151,0.053666596,0.040949947,0.03124659,0.023842508,0.01819287,0.0028
Temora (A),LGA17350,0.479,0.471953498,0.465010657,0.458169951,0.451429877,0.450813994,0.351885495,0.274666278,0.214392367,0.167345214,0.0551,0.0195,0.026315336,0.035512662,0.047924494,0.064674316,0.34950441,0.046761344,0.036421008,0.02836723,0.022094385,0.017208653,0.0054
Tenterfield (A),LGA17400,0.4607,0.451566697,0.442614461,0.433839701,0.425238899,0.424166789,0.424175092,0.424183395,0.424191698,0.424200001,0.4242,0.0388,0.047452665,0.058034933,0.070977119,0.086805501,0.223006825,0.073410659,0.196532994,0.526152718,1.408601562,3.771069294,0.5659
The Hills Shire (A),LGA17420,0.3417,0.336305847,0.330996847,0.325771656,0.320628951,0.320123387,0.32011754,0.320111694,0.320105847,0.320100001,0.3201,0.1526,0.158021042,0.163634663,0.169447706,0.175467255,0.03552452,0.174284167,0.163913125,0.154159228,0.144985751,0.136358156,0.1328
Tweed (A),LGA17550,0.412,0.404637742,0.397407044,0.390305555,0.383330967,0.382550966,0.317238225,0.263076296,0.218161407,0.180914816,0.1213,0.0739,0.080264904,0.087178008,0.094686527,0.102841746,0.086128601,0.099359615,0.077294711,0.060129786,0.046776695,0.036388941,0.0111
Upper Hunter Shire (A),LGA17620,0.4712,0.463557784,0.456039514,0.44864318,0.441366804,0.440631135,0.347898351,0.274681595,0.21687363,0.171231609,0.0697,0.0318,0.038464993,0.046526909,0.056278529,0.068074001,0.209590978,0.058459972,0.045069979,0.034746904,0.026788282,0.020652547,0.0049
Upper Lachlan Shire (A),LGA17640,0.4657,0.459714255,0.453805446,0.447972584,0.442214694,0.44175702,0.344542765,0.268721744,0.209586104,0.163464014,0.0529,0.0335,0.039963755,0.047674677,0.056873405,0.067847009,0.192947896,0.059355018,0.045466264,0.034827403,0.026677978,0.020435475,0.0038
Uralla (A),LGA17650,0.4567,0.451858554,0.447068433,0.442329091,0.43763999,0.437334218,0.463425663,0.49107373,0.520371285,0.551416738,0.5417,0.0356,0.040874403,0.046930248,0.053883311,0.061866522,0.148157393,0.056697613,0.05837321,0.060098326,0.061874424,0.063703013,0.0634
Wagga Wagga (C),LGA17750,0.4553,0.448330754,0.441468186,0.434710663,0.428056577,0.427423017,0.333842263,0.260750245,0.203661123,0.159071195,0.0531,0.033,0.039747225,0.047873997,0.05766238,0.069452109,0.204461366,0.0599889,0.046566675,0.036147608,0.028059756,0.021781522,0.0063
Walgett (A),LGA17900,0.4907,0.473999892,0.457868142,0.442285408,0.427233004,0.423899566,0.338274675,0.269945441,0.215418259,0.171905204,0.0814,0.0613,0.075151999,0.092134144,0.112953754,0.138477984,0.225970626,0.116707998,0.088905998,0.067726948,0.051593139,0.039302701,0.0055
Warrumbungle Shire (A),LGA18020,0.4751,0.465814051,0.456709598,0.447783095,0.439031061,0.437956204,0.416367153,0.395842334,0.376329287,0.357778134,0.3516,0.0313,0.039272706,0.049276212,0.061827801,0.077576519,0.25471904,0.063190824,0.112343118,0.199727988,0.355084229,0.631282629,0.2598
Waverley (A),LGA18050,0.2829,0.274858111,0.267044826,0.259453646,0.252078258,0.250732445,0.203474334,0.165123443,0.134000937,0.108744408,0.0617,0.1994,0.209968832,0.221097847,0.232816734,0.245156759,0.053003172,0.24167533,0.182206497,0.137371107,0.103568322,0.078083357,0.0038
Wentworth (A),LGA18200,0.4875,0.480354914,0.47331455,0.466377374,0.459541873,0.458919655,0.453714741,0.44856886,0.443481341,0.438451524,0.4381,0.0309,0.038305882,0.047486751,0.058868022,0.072977072,0.239672561,0.060523529,0.054742646,0.049513923,0.044784619,0.040507033,0.0374
Western Plains Regional (A),LGA18230,0.4588,0.452997651,0.447268683,0.441612169,0.436027191,0.435590604,0.424067953,0.41285011,0.401929012,0.391296809,0.3895,0.0254,0.032543943,0.041697174,0.05342482,0.068450957,0.28125759,0.053975771,0.122681828,0.278844205,0.633786534,1.440536914,0.3288
Willoughby (C),LGA18250,0.2839,0.278257937,0.272728002,0.267307965,0.261995643,0.26133175,0.289623812,0.320978805,0.355728323,0.394239862,0.3745,0.1959,0.202084231,0.208463688,0.215044533,0.221833124,0.031568305,0.220636924,0.184552693,0.154369884,0.129123346,0.108005772,0.0763
Wingecarribee (A),LGA18350,0.404,0.398731501,0.393531708,0.388399725,0.383334667,0.382926005,0.393044504,0.403430375,0.414090685,0.425032684,0.4234,0.0747,0.080076132,0.085839182,0.092016997,0.098639427,0.071969637,0.096204528,0.086753396,0.078230743,0.070545355,0.06361498,0.0584
Wollondilly (A),LGA18400,0.438,0.43256505,0.42719754,0.421896633,0.416661503,0.4162602,0.42022015,0.424217772,0.428253423,0.432327467,0.4321,0.0653,0.069785698,0.074579536,0.07970268,0.085177752,0.068693696,0.083242793,0.084807095,0.086400793,0.08802444,0.089678599,0.0895
Wollongong (C),LGA18450,0.3815,0.376889166,0.372334058,0.367834004,0.363388338,0.363056663,0.350217497,0.337832377,0.325885245,0.314360612,0.3117,0.1124,0.117287907,0.122388372,0.12771064,0.133264356,0.043486714,0.131951626,0.14238872,0.153651365,0.165804862,0.178919674,0.1737
Woollahra (A),LGA18500,0.2946,0.287569694,0.280707159,0.27400839,0.26746948,0.266478776,0.234634082,0.206594886,0.181906425,0.160168279,0.1391,0.1676,0.176813923,0.186534388,0.196789242,0.207607863,0.054975675,0.204455692,0.157541769,0.121392605,0.093538143,0.0720751,0.0168
Yass Valley (A),LGA18710,0.4372,0.431977896,0.426818167,0.421720069,0.416682864,0.416311585,0.421408688,0.426568199,0.431790879,0.437077503,0.4367,0.056,0.061973369,0.068583901,0.07589956,0.083995562,0.106667301,0.079893475,0.102470107,0.131426536,0.168565594,0.216199562,0.1702
