LGA,region_id,Year,Alcohol Related*,Not Alcohol Related,Victim Indigeneous,Victim Non Indigeneous,Victim Unknown,Victim Male 0_17,Victim Male 18_29,Victim Male 30-39,Victim Male 40_PLUS,Victim Male UNKNOWN,Victim Female 0_17,Victim Male 18_29,Victim Female 30-39,Victim Female 40_PLUS,Victim Female UNKNOWN
Kempsey,LGA14350,2017,0.315,0.685,0.405,0.422,0.172,0.164,0.164,0.182,0.473,0.018,0.107,0.395,0.237,0.260,0.000
Kiama,LGA14400,2017,0.471,0.529,na,0.848,0.152,na,na,0.385,0.538,0.077,na,0.421,0.263,0.316,0.000
Ku-ring-gai,LGA14500,2017,0.310,0.690,0.000,0.863,0.138,0.333,na,na,0.667,0.000,na,0.241,0.259,0.500,0.000
Kyogle,LGA14550,2017,0.609,0.391,0.292,0.708,0.000,na,1.000,0.000,na,0.000,na,0.324,0.297,0.378,0.000
Lachlan,LGA14600,2017,0.690,0.310,0.483,0.383,0.133,na,0.615,na,0.385,0.000,na,0.535,0.233,0.233,0.000
Lake Macquarie,LGA14650,2017,0.288,0.712,0.032,0.693,0.275,0.180,0.184,0.172,0.457,0.007,0.119,0.298,0.237,0.344,0.002
Lane Cove,LGA14700,2017,0.364,0.636,na,0.912,0.088,na,na,na,1.000,0.000,na,na,0.385,0.615,0.000
Leeton,LGA14750,2017,0.317,0.683,na,0.450,0.550,na,0.500,na,0.500,0.000,0.106,0.362,0.213,0.319,0.000
Lismore,LGA14850,2017,0.269,0.731,0.190,0.685,0.125,0.167,0.233,0.183,0.417,0.000,0.107,0.321,0.221,0.343,0.007
Lithgow,LGA14870,2017,0.232,0.768,0.110,0.725,0.165,0.188,0.188,0.313,0.313,0.000,0.156,0.208,0.312,0.312,0.013
Liverpool,LGA14900,2017,0.180,0.820,0.019,0.841,0.140,0.162,0.269,0.215,0.350,0.004,0.128,0.328,0.279,0.257,0.007
Liverpool Plains,LGA14920,2017,0.429,0.571,na,0.844,0.156,na,na,na,1.000,0.000,na,0.467,0.533,na,0.000
Lockhart,LGA14950,2017,0.455,0.545,na,1.000,0.000,na,na,na,na,na,na,na,na,na,na
Maitland,LGA15050,2017,0.237,0.763,0.042,0.610,0.347,0.118,0.252,0.185,0.437,0.008,0.088,0.351,0.261,0.295,0.006
Mid-Western Regional,LGA15270,2017,0.346,0.654,0.050,0.802,0.149,0.211,0.395,na,0.395,0.000,0.165,0.228,0.278,0.329,0.000
Moree Plains,LGA15300,2017,0.402,0.598,0.709,0.194,0.097,0.164,0.291,0.109,0.436,0.000,0.198,0.319,0.236,0.236,0.011
Mosman,LGA15350,2017,0.373,0.627,na,0.857,0.143,0.308,0.231,na,0.462,0.000,na,0.259,0.222,0.519,0.000
Muswellbrook,LGA15650,2017,0.376,0.624,0.160,0.730,0.110,0.184,0.132,0.342,0.342,0.000,0.161,0.403,0.226,0.210,0.000
Nambucca,LGA15700,2017,0.429,0.571,0.271,0.682,0.047,na,0.400,na,0.600,0.000,0.084,0.386,0.145,0.386,0.000
Narrabri,LGA15750,2017,0.237,0.763,0.413,0.250,0.338,na,0.333,0.208,0.458,0.000,0.170,0.472,0.226,0.132,0.000
Narrandera,LGA15800,2017,0.257,0.743,0.362,0.319,0.319,na,na,na,1.000,0.000,0.424,na,0.212,0.364,0.000
Narromine,LGA15850,2017,0.250,0.750,0.452,0.387,0.161,1.000,na,na,na,0.000,0.208,0.271,0.271,0.250,0.000
North Sydney,LGA15950,2017,0.522,0.478,na,0.881,0.119,0.103,0.138,0.310,0.431,0.017,na,0.257,0.270,0.473,0.000
Oberon,LGA16100,2017,0.263,0.737,na,0.955,0.045,na,na,na,na,na,na,na,na,na,na
Orange,LGA16150,2017,0.306,0.694,0.236,0.580,0.184,0.191,0.383,0.191,0.234,0.000,0.098,0.495,0.211,0.180,0.015
Parkes,LGA16200,2017,0.277,0.723,0.101,0.483,0.416,0.273,0.455,na,0.273,0.000,0.138,0.369,0.323,0.169,0.000
Parramatta,LGA16260,2017,0.214,0.786,0.020,0.874,0.105,0.106,0.277,0.265,0.345,0.008,0.067,0.364,0.285,0.280,0.004
Penrith,LGA16350,2017,0.255,0.745,0.018,0.671,0.311,0.142,0.235,0.241,0.377,0.005,0.091,0.407,0.228,0.273,0.001
Port Macquarie-Hastings,LGA16380,2017,0.386,0.614,0.048,0.860,0.092,0.176,0.306,0.141,0.353,0.024,0.102,0.296,0.290,0.301,0.011
Port Stephens,LGA16400,2017,0.355,0.645,0.067,0.640,0.292,0.235,0.294,0.147,0.324,0.000,0.071,0.317,0.300,0.308,0.004
Randwick,LGA16550,2017,0.353,0.647,0.060,0.746,0.194,0.074,0.207,0.273,0.446,0.000,0.065,0.339,0.265,0.331,0.000
Richmond Valley,LGA16610,2017,0.430,0.570,0.390,0.512,0.098,0.170,0.189,0.189,0.453,0.000,0.234,0.324,0.270,0.171,0.000
