"","region_id","label","B911","B912","B914","B915","B923","B924","B926","B927","B935","B936","B938","B939","B947","B948","B950","B951","B959","B960","B962","B963","B971","B972","B974","B975","B983","B984","B986","B987","B995","B996","B998","B999","B1007","B1008","B1010","B1011","B1019","B1020","B1022","B1023","Total_Males_20_24","B911_ppt","B914_ppt","Total_Males_25_29","B923_ppt","B926_ppt","Total_Males_20_29","Males_20_29_Indig_ppt","Males_20_29_Non_Indig_ppt","Total_Females_20_24","B912_ppt","B915_ppt","Total_Females_25_29","B924_ppt","B927_ppt","Total_Females_20_29","Females_20_29_Indig_ppt","Females_20_29_Non_Indig_ppt","Total_Males_30_34","B935_ppt","B938_ppt","Total_Males_35_39","B947_ppt","B950_ppt","Total_Males_30_39","Males_30_39_Indig_ppt","Males_30_39_Non_Indig_ppt","Total_Females_30_34","B936_ppt","B939_ppt","Total_Females_35_39","B948_ppt","B951_ppt","Total_Females_30_39","Females_30_39_Indig_ppt","Females_30_39_Non_Indig_ppt","Total_Males_40_44","B959_ppt","B962_ppt","Total_Males_45_49","B971_ppt","B974_ppt","Total_Males_40_49","Males_40_49_Indig_ppt","Males_40_49_Non_Indig_ppt","Total_Females_40_44","B960_ppt","B963_ppt","Total_Females_45_49","B972_ppt","B975_ppt","Total_Females_40_49","Females_40_49_Indig_ppt","Females_40_49_Non_Indig_ppt","Total_Males_50_54","B983_ppt","B986_ppt","Total_Males_55_59","B995_ppt","B998_ppt","Total_Males_60_64","B1007_ppt","B1010_ppt","Total_Males_50_64","Males_50_64_Indig_ppt","Males_50_64_Non_Indig_ppt","Total_Females_50_54","B984_ppt","B987_ppt","Total_Females_55_59","B996_ppt","B999_ppt","Total_Females_60_64","B1008_ppt","B1011_ppt","Total_Females_50_64","Females_50_64_Indig_ppt","Females_50_64_Non_Indig_ppt","Total_Males_65_plus","Males_65_plus_Indig_ppt","Males_65_plus_Non_Indig_ppt","Total_Females_65_plus","Females_65_plus_Indig_ppt","Females_65_plus_Non_Indig_ppt"
"11","LGA10650","Berrigan (A)",4,6,129,124,4,6,146,144,3,3,147,186,4,6,191,196,3,3,190,221,3,4,201,237,4,4,268,293,0,0,303,287,3,4,338,305,5,3,926,993,133,3.00751879699248,96.9924812030075,150,2.66666666666667,97.3333333333333,283,2.82685512367491,97.1731448763251,130,4.61538461538462,95.3846153846154,150,4,96,280,4.28571428571429,95.7142857142857,150,2,98,195,2.05128205128205,97.9487179487179,345,2.02898550724638,97.9710144927536,189,1.58730158730159,98.4126984126984,202,2.97029702970297,97.029702970297,391,2.30179028132992,97.6982097186701,193,1.55440414507772,98.4455958549223,204,1.47058823529412,98.5294117647059,397,1.51133501259446,98.4886649874055,224,1.33928571428571,98.6607142857143,241,1.6597510373444,98.3402489626556,465,1.50537634408602,98.494623655914,272,1.47058823529412,98.5294117647059,303,0,100,341,0.879765395894428,99.1202346041056,916,0.764192139737991,99.235807860262,297,1.34680134680135,98.6531986531986,287,0,100,309,1.29449838187702,98.705501618123,893,0.895856662933931,99.1041433370661,931,0.537056928034372,99.4629430719656,996,0.301204819277108,99.6987951807229
"12","LGA10750","Blacktown (C)",330,342,9690,9330,271,281,10169,11015,225,249,11026,11665,211,247,10978,11331,193,259,10003,10335,172,201,9629,9696,132,156,8548,8801,104,137,7392,7709,87,109,6348,6642,125,135,11573,13901,10020,3.2934131736527,96.7065868263473,10440,2.59578544061303,97.404214559387,20460,2.93743890518084,97.0625610948192,9672,3.53598014888337,96.4640198511166,11296,2.48760623229462,97.5123937677054,20968,2.97119420068676,97.0288057993132,11251,1.99982223802329,98.0001777619767,11189,1.88578067745107,98.1142193225489,22440,1.94295900178253,98.0570409982175,11914,2.0899781769347,97.9100218230653,11578,2.13335636552082,97.8666436344792,23492,2.11135705772178,97.8886429422782,10196,1.89289917614751,98.1071008238525,9801,1.75492296704418,98.2450770329558,19997,1.82527379106866,98.1747262089313,10594,2.44478006418728,97.5552199358127,9897,2.03091846013944,97.9690815398606,20491,2.24488799960958,97.7551120003904,8680,1.52073732718894,98.4792626728111,7496,1.38740661686233,98.6125933831377,6435,1.35198135198135,98.6480186480186,22611,1.42850824819778,98.5714917518022,8957,1.74165457184325,98.2583454281567,7846,1.74611266887586,98.2538873311241,6751,1.6145756184269,98.3854243815731,23554,1.70671648127707,98.2932835187229,11698,1.06855872798769,98.9314412720123,14036,0.961812482188658,99.0381875178113
"13","LGA10800","Bland (A)",9,6,118,101,7,9,124,133,3,7,144,138,3,10,181,160,4,4,142,171,6,9,204,159,8,5,216,200,3,4,203,175,7,0,169,182,4,3,495,578,127,7.08661417322835,92.9133858267717,131,5.34351145038168,94.6564885496183,258,6.2015503875969,93.7984496124031,107,5.60747663551402,94.392523364486,142,6.33802816901408,93.6619718309859,249,6.02409638554217,93.9759036144578,147,2.04081632653061,97.9591836734694,184,1.6304347826087,98.3695652173913,331,1.81268882175227,98.1873111782477,145,4.82758620689655,95.1724137931034,170,5.88235294117647,94.1176470588235,315,5.3968253968254,94.6031746031746,146,2.73972602739726,97.2602739726027,210,2.85714285714286,97.1428571428571,356,2.80898876404494,97.191011235955,175,2.28571428571429,97.7142857142857,168,5.35714285714286,94.6428571428571,343,3.79008746355685,96.2099125364432,224,3.57142857142857,96.4285714285714,206,1.45631067961165,98.5436893203884,176,3.97727272727273,96.0227272727273,606,2.97029702970297,97.029702970297,205,2.4390243902439,97.5609756097561,179,2.23463687150838,97.7653631284916,182,0,100,566,1.59010600706714,98.4098939929329,499,0.801603206412826,99.1983967935872,581,0.516351118760757,99.4836488812392
"14","LGA10850","Blayney (A)",11,3,166,154,3,5,130,146,6,0,137,170,3,5,175,219,6,8,233,236,8,6,248,239,3,3,222,230,0,4,255,205,3,4,204,191,4,3,538,580,177,6.21468926553672,93.7853107344633,133,2.25563909774436,97.7443609022556,310,4.51612903225806,95.4838709677419,157,1.91082802547771,98.0891719745223,151,3.3112582781457,96.6887417218543,308,2.5974025974026,97.4025974025974,143,4.1958041958042,95.8041958041958,178,1.68539325842697,98.314606741573,321,2.80373831775701,97.196261682243,170,0,100,224,2.23214285714286,97.7678571428571,394,1.26903553299492,98.7309644670051,239,2.51046025104602,97.489539748954,256,3.125,96.875,495,2.82828282828283,97.1717171717172,244,3.27868852459016,96.7213114754098,245,2.44897959183673,97.5510204081633,489,2.86298568507158,97.1370143149284,225,1.33333333333333,98.6666666666667,255,0,100,207,1.44927536231884,98.5507246376812,687,0.873362445414847,99.1266375545851,233,1.28755364806867,98.7124463519313,209,1.91387559808612,98.0861244019139,195,2.05128205128205,97.9487179487179,637,1.72684458398744,98.2731554160126,542,0.738007380073801,99.2619926199262,583,0.514579759862779,99.4854202401372
"15","LGA10900","Blue Mountains (C)",47,69,1776,1675,34,41,1517,1479,31,32,1660,1890,31,37,2161,2405,39,41,2485,2728,45,48,2427,2754,35,41,2672,3016,25,30,2728,2917,19,17,2494,2728,29,29,4913,6274,1823,2.57816785518376,97.4218321448162,1551,2.19213410702772,97.8078658929723,3374,2.40071132187315,97.5992886781269,1744,3.95642201834862,96.0435779816514,1520,2.69736842105263,97.3026315789474,3264,3.37009803921569,96.6299019607843,1691,1.83323477232407,98.1667652276759,2192,1.41423357664234,98.5857664233577,3883,1.59670357970641,98.4032964202936,1922,1.66493236212279,98.3350676378772,2442,1.51515151515152,98.4848484848485,4364,1.58111824014665,98.4188817598533,2524,1.54516640253566,98.4548335974643,2472,1.82038834951456,98.1796116504854,4996,1.68134507606085,98.3186549239391,2769,1.48067894546768,98.5193210545323,2802,1.71306209850107,98.2869379014989,5571,1.59755878657333,98.4024412134267,2707,1.29294421869228,98.7070557813077,2753,0.908100254268071,99.0918997457319,2513,0.756068444090728,99.2439315559093,7973,0.990844098833563,99.0091559011664,3057,1.34118416748446,98.6588158325155,2947,1.01798439090601,98.982015609094,2745,0.619307832422586,99.3806921675774,8749,1.00582923762716,98.9941707623728,4942,0.586806960744638,99.4131930392554,6303,0.460098365857528,99.5399016341425
"16","LGA10950","Bogan (A)",18,20,57,58,12,15,58,49,7,11,54,65,16,12,82,82,3,16,94,85,12,7,90,67,10,8,72,72,7,3,58,55,5,3,72,70,13,14,217,246,75,24,76,70,17.1428571428571,82.8571428571429,145,20.6896551724138,79.3103448275862,78,25.6410256410256,74.3589743589744,64,23.4375,76.5625,142,24.6478873239437,75.3521126760563,61,11.4754098360656,88.5245901639344,98,16.3265306122449,83.6734693877551,159,14.4654088050314,85.5345911949686,76,14.4736842105263,85.5263157894737,94,12.7659574468085,87.2340425531915,170,13.5294117647059,86.4705882352941,97,3.09278350515464,96.9072164948454,102,11.7647058823529,88.2352941176471,199,7.53768844221105,92.462311557789,101,15.8415841584158,84.1584158415842,74,9.45945945945946,90.5405405405405,175,13.1428571428571,86.8571428571429,82,12.1951219512195,87.8048780487805,65,10.7692307692308,89.2307692307692,77,6.49350649350649,93.5064935064935,224,9.82142857142857,90.1785714285714,80,10,90,58,5.17241379310345,94.8275862068966,73,4.10958904109589,95.8904109589041,211,6.63507109004739,93.3649289099526,230,5.65217391304348,94.3478260869565,260,5.38461538461539,94.6153846153846
"17","LGA11000","Bombala (A)",4,0,38,34,0,0,57,54,3,3,39,57,0,0,68,51,0,3,74,73,0,0,88,87,5,4,93,90,3,0,104,82,3,0,90,108,0,0,223,236,42,9.52380952380952,90.4761904761905,57,0,100,99,4.04040404040404,95.959595959596,34,0,100,54,0,100,88,0,100,42,7.14285714285714,92.8571428571429,68,0,100,110,2.72727272727273,97.2727272727273,60,5,95,51,0,100,111,2.7027027027027,97.2972972972973,74,0,100,88,0,100,162,0,100,76,3.94736842105263,96.0526315789474,87,0,100,163,1.84049079754601,98.159509202454,98,5.10204081632653,94.8979591836735,107,2.80373831775701,97.196261682243,93,3.2258064516129,96.7741935483871,298,3.69127516778524,96.3087248322148,94,4.25531914893617,95.7446808510638,82,0,100,108,0,100,284,1.40845070422535,98.5915492957747,223,0,100,236,0,100
"18","LGA11050","Boorowa (A)",0,3,54,43,0,0,42,39,3,0,37,57,0,4,66,51,3,0,64,79,0,4,90,75,0,0,88,88,0,0,90,80,0,0,91,87,0,3,231,249,54,0,100,42,0,100,96,0,100,46,6.52173913043478,93.4782608695652,39,0,100,85,3.52941176470588,96.4705882352941,40,7.5,92.5,66,0,100,106,2.83018867924528,97.1698113207547,57,0,100,55,7.27272727272727,92.7272727272727,112,3.57142857142857,96.4285714285714,67,4.47761194029851,95.5223880597015,90,0,100,157,1.91082802547771,98.0891719745223,79,0,100,79,5.06329113924051,94.9367088607595,158,2.53164556962025,97.4683544303797,88,0,100,90,0,100,91,0,100,269,0,100,88,0,100,80,0,100,87,0,100,255,0,100,231,0,100,252,1.19047619047619,98.8095238095238
"19","LGA11100","Botany Bay (C)",30,26,1192,1149,20,19,1455,1473,9,18,1435,1527,23,15,1463,1529,16,24,1405,1409,18,22,1293,1237,17,16,1140,1057,11,12,966,1065,11,18,883,914,16,22,2339,2912,1222,2.45499181669394,97.5450081833061,1475,1.35593220338983,98.6440677966102,2697,1.85391175380052,98.1460882461995,1175,2.21276595744681,97.7872340425532,1492,1.27345844504021,98.7265415549598,2667,1.68728908886389,98.3127109111361,1444,0.623268698060942,99.3767313019391,1486,1.54777927321669,98.4522207267833,2930,1.09215017064846,98.9078498293515,1545,1.16504854368932,98.8349514563107,1544,0.971502590673575,99.0284974093264,3089,1.06830689543542,98.9316931045646,1421,1.12596762843068,98.8740323715693,1311,1.37299771167048,98.6270022883295,2732,1.24450951683748,98.7554904831625,1433,1.67480809490579,98.3251919050942,1259,1.74741858617951,98.2525814138205,2692,1.70876671619614,98.2912332838039,1157,1.46931719965428,98.5306828003457,977,1.12589559877175,98.8741044012283,894,1.23042505592841,98.7695749440716,3028,1.28797886393659,98.7120211360634,1073,1.49114631873253,98.5088536812675,1077,1.1142061281337,98.8857938718663,932,1.931330472103,98.068669527897,3082,1.49253731343284,98.5074626865672,2355,0.679405520169851,99.3205944798301,2934,0.749829584185412,99.2501704158146
"20","LGA11150","Bourke (A)",31,28,44,52,24,26,46,72,16,26,57,55,23,41,55,49,39,33,63,62,17,25,65,64,19,24,73,64,14,21,59,48,15,17,58,41,18,26,120,119,75,41.3333333333333,58.6666666666667,70,34.2857142857143,65.7142857142857,145,37.9310344827586,62.0689655172414,80,35,65,98,26.530612244898,73.469387755102,178,30.3370786516854,69.6629213483146,73,21.9178082191781,78.0821917808219,78,29.4871794871795,70.5128205128205,151,25.8278145695364,74.1721854304636,81,32.0987654320988,67.9012345679012,90,45.5555555555556,54.4444444444444,171,39.1812865497076,60.8187134502924,102,38.2352941176471,61.7647058823529,82,20.7317073170732,79.2682926829268,184,30.4347826086957,69.5652173913043,95,34.7368421052632,65.2631578947368,89,28.0898876404494,71.9101123595506,184,31.5217391304348,68.4782608695652,92,20.6521739130435,79.3478260869565,73,19.1780821917808,80.8219178082192,73,20.5479452054795,79.4520547945205,238,20.1680672268908,79.8319327731092,88,27.2727272727273,72.7272727272727,69,30.4347826086957,69.5652173913043,58,29.3103448275862,70.6896551724138,215,28.8372093023256,71.1627906976744,138,13.0434782608696,86.9565217391304,145,17.9310344827586,82.0689655172414
