"","LGA","region_id","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","yr2016_dv","yr2017_dv","yr1999_pop","yr2000_pop","yr2001_pop","yr2002_pop","yr2003_pop","yr2004_pop","yr2005_pop","yr2006_pop","yr2007_pop","yr2008_pop","yr2009_pop","yr2010_pop","yr2011_pop","yr2012_pop","yr2013_pop","yr2014_pop","yr2015_pop","yr2016_pop","yr2017_pop","yr1999pct","yr2000pct","yr2001pct","yr2002pct","yr2003pct","yr2004pct","yr2005pct","yr2006pct","yr2007pct","yr2008pct","yr2009pct","yr2010pct","yr2011pct","yr2012pct","yr2013pct","yr2014pct","yr2015pct","yr2016pct","yr2017pct"
"11","Bogan","LGA10950",12,23,18,17,17,15,26,23,19,22,22,29,23,22,23,33,35,27,20,3246,3227,3181,3159,3114,3117,3103,3113,3062,3035,3034,3028,3020,2984,2928,2898,2851,2768,2664,0.369685767097967,0.712736287573598,0.565859792518076,0.538144982589427,0.54592164418754,0.481231953801732,0.837898807605543,0.738837134596852,0.62050947093403,0.724876441515651,0.725115359261701,0.95772787318362,0.76158940397351,0.737265415549598,0.78551912568306,1.13871635610766,1.22763942476324,0.975433526011561,0.750750750750751
"12","Botany Bay","LGA11100",128,132,130,135,117,120,125,116,161,125,118,126,129,143,105,110,121,0,0,36879,37017,37193,37363,37446,37120,37262,37415,38218,39114,40109,41031,41674,42279,43264,44677,46454,49058,51412,0.347080994603975,0.356592916767971,0.34952813701503,0.361320022482135,0.31244992789617,0.323275862068966,0.335462401374054,0.31003608178538,0.421267465592129,0.319578667484788,0.294198309606323,0.307084887036631,0.309545519988482,0.33822938101658,0.24269600591716,0.24621169729391,0.260472725707151,0,0
"13","Bourke","LGA11150",126,139,152,142,147,154,168,128,108,114,118,114,135,135,139,124,135,92,89,3930,3887,3951,3816,3682,3538,3400,3249,3128,3099,3060,3065,3085,3005,2914,2888,2823,2787,2720,3.20610687022901,3.57602263956779,3.84712730954189,3.72117400419287,3.99239543726236,4.35274166195591,4.94117647058823,3.93967374576793,3.45268542199488,3.67860600193611,3.8562091503268,3.71941272430669,4.37601296596434,4.49251247920133,4.7700754975978,4.29362880886427,4.78214665249734,3.30104054538931,3.27205882352941
"14","Broken Hill","LGA11250",128,150,191,228,284,131,129,168,159,174,174,166,191,134,169,169,179,160,181,21476,21187,21098,20888,20651,20408,20287,20223,19997,19855,19594,19320,19125,18975,18773,18587,18305,18027,17780,0.596014155336189,0.707981309293435,0.905299080481562,1.09153581003447,1.37523606605007,0.641905135241082,0.635875191009021,0.83073727933541,0.795119267890184,0.876353563334173,0.888026947024599,0.859213250517598,0.998692810457516,0.706192358366271,0.900229052362435,0.909237639210201,0.97787489756897,0.887557552560049,1.01799775028121
"15","Burwood","LGA11300",49,55,45,54,64,78,57,70,69,79,75,105,88,76,74,72,76,72,84,30044,30335,30580,30702,30806,31025,31109,31387,33082,33460,33809,33922,34305,35098,36140,37201,37819,38495,39172,0.16309412861137,0.181308719301137,0.147155003270111,0.175884307211257,0.207751736674674,0.251410153102337,0.183226718955929,0.223022270366712,0.208572637688169,0.236102809324567,0.221834422786832,0.309533635988444,0.256522372831949,0.216536554789447,0.204759269507471,0.193543184323002,0.200957190830006,0.187037277568515,0.214438884917798
"16","Byron","LGA11350",85,112,99,95,103,88,83,110,89,111,111,99,85,126,118,135,90,97,112,28506,29127,29689,29990,30383,30676,30787,30898,30641,30860,30952,30924,30825,31099,31523,31920,32344,32790,33339,0.298182838700624,0.384522951213651,0.333456835865135,0.31677225741914,0.339005364842182,0.286869213717564,0.269594309286387,0.356010097740954,0.2904604941092,0.359688917692806,0.358619798397519,0.320139697322468,0.275750202757502,0.405157722113251,0.374329854392031,0.422932330827068,0.278258718773188,0.295821896919793,0.33594288970875
"17","Cabonne","LGA11400",31,24,30,34,26,46,30,30,29,28,44,39,41,42,41,55,49,29,23,12413,12422,12547,12589,12610,12607,12705,12843,12907,12959,13078,13121,13188,13339,13497,13543,13560,13625,13647,0.24973817771691,0.193205602962486,0.239100980314019,0.270077051394074,0.206185567010309,0.364876655826128,0.236127508854782,0.233590282644242,0.224684279848144,0.216066054479512,0.336442881174492,0.297233442572975,0.310888686684865,0.314866181872704,0.303771208416685,0.406113859558443,0.361356932153392,0.212844036697248,0.168535209203488
"18","Camden","LGA11450",95,84,122,119,147,145,121,136,116,138,163,180,179,151,156,191,242,223,306,40324,42906,45454,47818,49416,50223,51561,52459,52349,53729,55298,56770,58376,61190,64197,68813,74329,80476,87250,0.235591707171908,0.195776814431548,0.26840322083865,0.248860261826091,0.297474502185527,0.288712342950441,0.234673493531933,0.25925008101565,0.221589715180806,0.25684453460887,0.294766537668632,0.317068874405496,0.306632862820337,0.246772348422945,0.243002009439693,0.277563832415387,0.325579518088498,0.277101247576917,0.350716332378224
"19","Campbelltown","LGA11500",717,787,854,961,998,1073,1042,1189,1108,990,1112,1038,985,910,962,998,883,933,803,149339,149525,150154,150489,150483,149672,149491,148969,147687,148479,149902,150288,151221,152477,154338,156304,158591,161409,164273,0.480115709894937,0.526333389065374,0.568749417264941,0.638584879958004,0.663197836300446,0.716900956758779,0.697031928343512,0.798152635783284,0.750235294914244,0.666760956094801,0.741817987751998,0.690673906100287,0.651364559155144,0.596811322363373,0.623307286604725,0.638499334629952,0.556778127384278,0.578034682080925,0.48882043914703
"20","Canada Bay","LGA11520",75,90,96,93,75,103,90,100,89,102,132,101,120,107,135,150,122,108,112,59523,60959,62322,63571,64626,66020,67602,68955,70421,72307,75191,77549,79905,82636,85535,88535,90419,92382,93858,0.126001713623305,0.147640217195164,0.154038702223934,0.146293121077221,0.116052362826107,0.156013329294153,0.133132155853377,0.145022115872671,0.126382755144062,0.141065180411302,0.175552925217114,0.130240235206128,0.15017833677492,0.129483518079287,0.157830128017771,0.169424521375727,0.134927393578783,0.11690589075794,0.119329199428925
