LGA,region_id,Aus_Male,Aus_Female,OS_Male,OS_Female,Total,Aus_Male_%,Aus_Female_%,OS_Male_%,OS_Female_%
Narrabri (A),LGA15750,5459,5440,273,293,11465,0.1159,0.1155,0.0058,0.0062
Narrandera (A),LGA15800,2397,2467,122,130,5116,0.0509,0.0524,0.0026,0.0028
Narromine (A),LGA15850,2732,2753,112,113,5710,0.058,0.0584,0.0024,0.0024
Newcastle (C),LGA15900,62342,64044,10496,11089,147971,1.3236,1.3597,0.2228,0.2354
North Sydney (A),LGA15950,17419,19260,11899,13705,62283,0.3698,0.4089,0.2526,0.291
Oberon (A),LGA16100,2158,2012,247,219,4636,0.0458,0.0427,0.0052,0.0046
Orange (C),LGA16150,16384,17269,1805,1977,37435,0.3478,0.3666,0.0383,0.042
Parkes (A),LGA16200,6095,6233,340,412,13080,0.1294,0.1323,0.0072,0.0087
Penrith (C),LGA16350,70239,71640,20720,21605,184204,1.4912,1.521,0.4399,0.4587
Port Macquarie-Hastings (A),LGA16380,30645,33218,4227,4714,72804,0.6506,0.7052,0.0897,0.1001
Port Stephens (A),LGA16400,27857,28411,3710,3941,63919,0.5914,0.6032,0.0788,0.0837
Queanbeyan-Palerang Regional (A),LGA16490,21093,20910,4815,4857,51675,0.4478,0.4439,0.1022,0.1031
Randwick (C),LGA16550,35922,36457,27769,29477,129625,0.7626,0.774,0.5896,0.6258
Richmond Valley (A),LGA16610,9719,9702,539,729,20689,0.2063,0.206,0.0114,0.0155
Rockdale (C),LGA16650,25231,25401,25057,26066,101755,0.5357,0.5393,0.532,0.5534
Ryde (C),LGA16700,28100,28332,25792,28743,110967,0.5966,0.6015,0.5476,0.6102
Shellharbour (C),LGA16900,26046,26905,5388,5993,64332,0.553,0.5712,0.1144,0.1272
Shoalhaven (C),LGA16950,39015,39726,6211,6543,91495,0.8283,0.8434,0.1319,0.1389
Singleton (A),LGA17000,9858,9432,897,908,21095,0.2093,0.2002,0.019,0.0193
Snowy Valleys (A),LGA17080,5936,5775,602,598,12911,0.126,0.1226,0.0128,0.0127
Strathfield (A),LGA17100,7578,7221,11342,11345,37486,0.1609,0.1533,0.2408,0.2409
Tamworth Regional (A),LGA17310,24544,25932,2044,2001,54521,0.5211,0.5505,0.0434,0.0425
Temora (A),LGA17350,2670,2713,130,131,5644,0.0567,0.0576,0.0028,0.0028
Tenterfield (A),LGA17400,2593,2671,256,261,5781,0.0551,0.0567,0.0054,0.0055
The Hills Shire (A),LGA17420,48285,48694,26657,28505,152141,1.0251,1.0338,0.5659,0.6052
Tweed (A),LGA17550,34169,36333,6257,7048,83807,0.7254,0.7714,0.1328,0.1496
Upper Hunter Shire (A),LGA17620,5713,5843,525,531,12612,0.1213,0.124,0.0111,0.0113
Upper Lachlan Shire (A),LGA17640,3283,3147,233,285,6948,0.0697,0.0668,0.0049,0.0061
Uralla (A),LGA17650,2490,2647,180,203,5520,0.0529,0.0562,0.0038,0.0043
Wagga Wagga (C),LGA17750,25515,26997,2985,2857,58354,0.5417,0.5732,0.0634,0.0607
Walgett (A),LGA17900,2503,2217,296,260,5276,0.0531,0.0471,0.0063,0.0055
Warrumbungle Shire (A),LGA18020,3833,3818,257,290,8198,0.0814,0.0811,0.0055,0.0062
Waverley (A),LGA18050,16560,17007,12236,13455,59258,0.3516,0.3611,0.2598,0.2857
Wentworth (A),LGA18200,2908,2749,177,182,6016,0.0617,0.0584,0.0038,0.0039
Western Plains Regional (A),LGA18230,20636,21440,1760,1819,45655,0.4381,0.4552,0.0374,0.0386
Willoughby (C),LGA18250,18347,18351,15489,18271,70458,0.3895,0.3896,0.3288,0.3879
Wingecarribee (A),LGA18350,17638,19260,3593,4000,44491,0.3745,0.4089,0.0763,0.0849
Wollondilly (A),LGA18400,19941,19865,2749,2973,45528,0.4234,0.4217,0.0584,0.0631
Wollongong (C),LGA18450,73243,74691,21407,22448,191789,1.555,1.5857,0.4545,0.4766
Woollahra (A),LGA18500,14682,16862,8181,9381,49106,0.3117,0.358,0.1737,0.1992
Yass Valley (A),LGA18710,6552,6755,789,874,14970,0.1391,0.1434,0.0168,0.0186
